"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","hgnc_symbol"
"ENSG00000184389",506.032482420175,-1.38566521545732,0.199018766382636,-6.9624851999797,3.34321729668163e-12,2.88146585135563e-11,"ENSG00000184389","A3GALT2"
"ENSG00000128274",62.2893225400062,2.2741132339481,0.248584933012966,9.14823439371319,5.7871621138791e-20,8.69681862113497e-19,"ENSG00000128274","A4GALT"
"ENSG00000118017",48.8446825171538,5.09390235884562,0.421958671906234,12.0720409319555,1.48407335552032e-33,4.1659059144818e-32,"ENSG00000118017","A4GNT"
"ENSG00000094914",124.392705795666,0.11881793926731,0.118408409555042,1.00345862015887,0.315639632672518,0.409677525416391,"ENSG00000094914","AAAS"
"ENSG00000081760",74.6745977473815,0.66646562300075,0.204141205953118,3.2647285485019,0.00109569027478899,0.00300274134251407,"ENSG00000081760","AACS"
"ENSG00000114771",967.245740335819,-3.96291124650296,0.188837227519268,-20.9858580247298,8.83147969704954e-98,1.01069491686811e-95,"ENSG00000114771","AADAC"
"ENSG00000204518",29.4912726197386,6.01540326772853,0.368037649831661,16.3445323337978,4.75807555629328e-60,2.98055869847382e-58,"ENSG00000204518","AADACL4"
"ENSG00000103591",120.717184812365,-0.200148130524634,0.119601498493017,-1.6734583851081,0.0942370923447005,0.149508114247751,"ENSG00000103591","AAGAB"
"ENSG00000115977",67.2794487436437,0.0252445078370254,0.216635907401365,0.116529656324491,0.907232783847436,0.934909169595795,"ENSG00000115977","AAK1"
"ENSG00000087884",285.402358184256,-0.460803881854469,0.193244640524527,-2.38456228645566,0.0170994530854449,0.0341313302081569,"ENSG00000087884","AAMDC"
"ENSG00000127837",640.777224747869,-0.351130807121712,0.0824498196920333,-4.25872134630805,2.05599571376761e-05,7.95528640613202e-05,"ENSG00000127837","AAMP"
"ENSG00000131043",154.246239514116,0.199168074307982,0.0664330816652617,2.99802552155469,0.00271734916620747,0.00675196028730717,"ENSG00000131043","AAR2"
"ENSG00000205002",7.57259324018423,-0.792307090631782,0.301722486487669,-2.6259464445457,0.0086408411594787,0.0188288706481354,"ENSG00000205002","AARD"
"ENSG00000124608",87.323056738094,0.166791359728578,0.117541339190433,1.41900169657208,0.155898521442433,0.22772511072752,"ENSG00000124608","AARS2"
"ENSG00000266967",317.37012321253,-0.245419329636052,0.0949119364232568,-2.58575832381727,0.00971650325747621,0.0208296296175275,"ENSG00000266967","AARSD1"
"ENSG00000157426",56.7541617788399,0.261849397678257,0.133514149860593,1.96121083759035,0.0498544331502561,0.0866229873509998,"ENSG00000157426","AASDH"
"ENSG00000149313",137.480129533777,0.0563996362724071,0.126377912403693,0.446277638233554,0.655396707141131,0.729976755417719,"ENSG00000149313","AASDHPPT"
"ENSG00000275700",212.833334608776,0.0282549354706227,0.118120805997369,0.239203713791557,0.810947623058912,0.859627592594155,"ENSG00000275700","AATF"
"ENSG00000181409",24.5634290475474,0.70191134875992,0.22526404241423,3.11594935985922,0.00183353756288742,0.00475234409265812,"ENSG00000181409","AATK"
"ENSG00000183044",759.391803348088,-5.11596156408652,0.220563389376521,-23.1949716521319,5.11764346312952e-119,8.23110709434697e-117,"ENSG00000183044","ABAT"
"ENSG00000165029",65.3637670816016,1.93333901169385,0.245544085141965,7.87369408868496,3.44320252745921e-15,3.8145304138913e-14,"ENSG00000165029","ABCA1"
"ENSG00000144452",49.9106120279356,2.60270726469185,0.328608331913804,7.92039340431137,2.36760275346288e-15,2.64842180185293e-14,"ENSG00000144452","ABCA12"
"ENSG00000179869",12.1483677625586,-0.633228132510074,0.244126421859751,-2.59385333093466,0.00949069643557924,0.0204227570016749,"ENSG00000179869","ABCA13"
"ENSG00000107331",245.641507847077,-0.392243122441927,0.23555001876252,-1.66522220844051,0.0958684317912119,0.151732190848272,"ENSG00000107331","ABCA2"
"ENSG00000167972",1081.56861284605,-0.501654709984412,0.168654651388101,-2.97444930131234,0.00293514954158606,0.00723573940429935,"ENSG00000167972","ABCA3"
"ENSG00000154265",64.0712995574413,0.0487053235116441,0.134393205835957,0.362409120376923,0.717046325007735,0.782777578895943,"ENSG00000154265","ABCA5"
"ENSG00000064687",48.8673826491998,0.176763881354521,0.223968323130337,0.789236079834621,0.429974038082643,0.523427534137222,"ENSG00000064687","ABCA7"
"ENSG00000154258",14.2250845274686,0.00567377823009898,0.185298791564172,0.0306196180892742,0.975572896511828,0.983006147501167,"ENSG00000154258","ABCA9"
"ENSG00000085563",2985.15412124021,0.0237563752507747,0.22755120378121,0.104400129975214,0.916851819541566,0.941629237295271,"ENSG00000085563","ABCB1"
"ENSG00000135776",132.027119011767,-0.108528392646186,0.164744662757374,-0.65876727555065,0.510045224349014,0.60086689698129,"ENSG00000135776","ABCB10"
"ENSG00000073734",12.4632859534147,3.09110981417382,0.353884409615339,8.73480077162416,2.44085950010134e-18,3.36629313675622e-17,"ENSG00000073734","ABCB11"
"ENSG00000005471",19.1308488221053,0.829032920801784,0.265215778693634,3.12588083893548,0.00177273367490028,0.00460678519621467,"ENSG00000005471","ABCB4"
"ENSG00000115657",1203.81950382899,0.240604622339973,0.147770987023754,1.62822640077037,0.103476888741779,0.161965009179992,"ENSG00000115657","ABCB6"
"ENSG00000131269",237.927752336352,0.0938021150661481,0.099317580744276,0.944466371041305,0.344931378859653,0.43987713181052,"ENSG00000131269","ABCB7"
"ENSG00000150967",142.966067498061,0.88749820170456,0.168252392549745,5.27480286167201,1.32898871537812e-07,7.08357532038977e-07,"ENSG00000150967","ABCB9"
"ENSG00000103222",692.860420594331,1.89133117768042,0.238871615224359,7.91777279985318,2.41802684726748e-15,2.69975192647069e-14,"ENSG00000103222","ABCC1"
"ENSG00000124574",145.614512204167,-0.714192942457864,0.196820774447866,-3.62864613484711,0.00028491145720205,0.000883537301620321,"ENSG00000124574","ABCC10"
"ENSG00000023839",268.055223225053,-6.41014157719321,0.286167720925993,-22.3999462848256,3.94053092529934e-111,5.79014803369293e-109,"ENSG00000023839","ABCC2"
"ENSG00000108846",975.808004801185,1.72223900281418,0.188600887217955,9.13165907233453,6.74574589285611e-20,1.00611362928288e-18,"ENSG00000108846","ABCC3"
"ENSG00000125257",47.5277129339481,1.10031887025341,0.193565246279691,5.68448567809281,1.31206916922477e-08,7.94719961939602e-08,"ENSG00000125257","ABCC4"
"ENSG00000114770",318.430443741847,-0.976152059622336,0.172748915440311,-5.65069862889889,1.59797037948706e-08,9.5573082696759e-08,"ENSG00000114770","ABCC5"
"ENSG00000091262",138.383719287224,-1.85807833494894,0.23253390910824,-7.99056938437327,1.34316945465245e-15,1.52833679247356e-14,"ENSG00000091262","ABCC6"
"ENSG00000006071",11.8168478624115,0.423249618178513,0.296933434427587,1.42540235994115,0.154040926285357,0.225454390635554,"ENSG00000006071","ABCC8"
