"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A3GALT2",487.370328672079,-1.3903507747384,0.17965141147245,-7.73915864808893,1.00076842477717e-14,9.90097872913632e-14
"A4GALT",60.9307784963611,2.35114979873175,0.260184399459187,9.03647491401789,1.61805476890825e-19,2.17779503402068e-18
"A4GNT",45.0874132325795,5.77228409377653,0.664260962653132,8.68978371199383,3.6313015472682e-18,4.53375956686452e-17
"AAAS",121.233753540218,0.137767733132578,0.115723464761575,1.19049091224861,0.233853499761908,0.314647661769071
"AACS",71.2305958072765,0.68466773849364,0.200487141365014,3.41502070323358,0.000637771637649217,0.00175026372796944
"AADAC",957.653070200562,-3.98298959343219,0.200493140768343,-19.8659643824637,8.01969569878181e-88,7.67384632177185e-86
"AADACL4",27.8750991001033,8.29045946408615,0.501632223676112,16.5269675128347,2.34655922480374e-61,1.43703286926981e-59
"AAGAB",115.928228428552,-0.188499441082714,0.101066551671095,-1.86510213286147,0.0621670896739377,0.10174004734452
"AAK1",63.6442409925499,0.0471642322669494,0.208167498893617,0.226568664741716,0.820759160573439,0.864744791286321
"AAMDC",290.279838798214,-0.395177577729377,0.226114066059062,-1.74769126316164,0.0805175024980061,0.127019367670734
"AAMP",630.493973516028,-0.329195073462758,0.087184877474946,-3.77582767788321,0.000159477219961564,0.000497143545454119
"AAR2",151.63050834222,0.208803135972333,0.0690921285502758,3.02209731200269,0.00251029834198106,0.00603812531276198
"AARS2",83.8452397910035,0.178357967924476,0.115222799471573,1.54793989334098,0.121636768627982,0.180779898332183
"AARSD1",315.538195226322,-0.228850619886279,0.11774972901789,-1.94353415328463,0.0519516529729491,0.0872485733734651
"AASDH",54.0434326879704,0.286430058595367,0.123417710996573,2.32081810853971,0.0202966627531042,0.0382745997536598
"AASDHPPT",132.771058063338,0.058179135560846,0.117798993136336,0.493884828824571,0.621387519541882,0.696509045424084
"AATF",206.162613850522,0.0345076821157999,0.0982713291200612,0.351146997041637,0.725478071462159,0.785993402854358
"AATK",23.3059733514016,0.781090752652191,0.244886524238036,3.18960283781459,0.00142468439762054,0.00362399470447692
"ABAT",728.94776882834,-5.09683797620814,0.226266927667615,-22.5257753253952,2.32063454783038e-112,3.30501534207284e-110
"ABCA1",62.0746164046481,1.98987785811402,0.240794133279313,8.26381370266121,1.41090750095144e-16,1.57959735572699e-15
"ABCA12",47.0183058328032,2.6658675184552,0.338015554483195,7.88681906230958,3.09986345863618e-15,3.17716549300217e-14
"ABCA13",11.4393297386817,-0.65745279309422,0.284021841931322,-2.31479659671102,0.0206240662782458,0.0387785636745401
"ABCA17",28.9167882002597,-0.576691966245349,0.15258812956981,-3.77940255163498,0.000157205100961336,0.000490310179927284
"ABCA2",234.213108449127,-0.36842697283548,0.217297853353937,-1.6954929243382,0.0899819513855554,0.139860271645975
"ABCA3",1044.58107224981,-0.492935753604496,0.141286941285807,-3.48889818916345,0.000485015842399185,0.00136374518771929
"ABCA5",60.9071113170235,0.0613117898169747,0.120308738757866,0.50962041868273,0.610317416035802,0.686710435141836
"ABCA7",46.9306614893298,0.223485394329155,0.232148682323605,0.962682157366829,0.335707053520326,0.423410564464726
"ABCA8A",51.8298560290238,1.20843971967483,0.196592381958779,6.14693055567237,7.89966934990377e-10,5.05512801450478e-09
"ABCA9",12.5683951769285,0.0142659845615937,0.197779430546737,0.0721307798397293,0.942497831245808,0.958325741673836
"ABCB1",2881.50203804885,0.067729362349101,0.208024880098149,0.325582989482534,0.744739883952015,0.802672835149972
"ABCB10",126.362393185078,-0.0857318559098775,0.147076874549026,-0.582905070377328,0.559957207141924,0.64204791921684
"ABCB11",11.5684674937127,3.75706086864146,0.435359331348465,8.62979290464382,6.14631583297694e-18,7.52048714508507e-17
"ABCB4",17.3677561672395,0.884305106040297,0.282066058137111,3.13509931638227,0.00171795938561714,0.00429156976443785
"ABCB6",1184.27626054565,0.273337181826426,0.143969505522237,1.8985769301278,0.057620124047624,0.0954335739466259
"ABCB7",231.063692871558,0.112030601923457,0.0749691278960957,1.49435647802556,0.135082470594652,0.197456748996693
"ABCB9",140.134271776576,0.938411781861204,0.165695839967209,5.66346012094759,1.48350660087369e-08,8.38485872058191e-08
"ABCC1",670.197473010674,1.91576736725397,0.22168501960479,8.64184404823254,5.53128974055249e-18,6.801931399828e-17
"ABCC10",139.298716808388,-0.692224534756113,0.185897285131712,-3.7236936207307,0.00019632916291848,0.00059995997690258
"ABCC2",253.558785658547,-6.66047045255578,0.297443449759933,-22.3923924293221,4.6684580993889e-111,6.49764486378582e-109
"ABCC3",949.081064360753,1.74991567737716,0.167392065175396,10.4539941934737,1.40481368811781e-25,2.68008692399798e-24
"ABCC4",44.831786994831,1.1378017165765,0.187807537089279,6.05833894747053,1.37534354305947e-09,8.62529836937656e-09
"ABCC5",308.666364627909,-0.927209804725694,0.16440926780622,-5.63964438926002,1.7040171150558e-08,9.57376221339608e-08
"ABCC6",133.447877984456,-1.83757368012525,0.234867206439426,-7.82388358078066,5.12181766899355e-15,5.16738243903072e-14
"ABCC8",10.5981816685878,0.502158182106324,0.329935017853081,1.52199116472666,0.128011294525435,0.188742305928438
"ABCC9",12.0150768730985,0.202839010061905,0.250570128336447,0.809509942021295,0.418221886481948,0.506214217376311
"ABCD1",381.226458821995,-2.31505794870367,0.154224633987372,-15.0109479195991,6.22516595348693e-51,2.83441756871033e-49
"ABCD3",889.886032288031,-0.779157747579467,0.157235673363582,-4.95534970475684,7.22003139023833e-07,3.29966210700146e-06
"ABCD4",178.765320438221,-1.4677870676295,0.121543556633708,-12.0762227820346,1.41051743693471e-33,3.61422961664777e-32
"ABCE1",6713.99398511801,-0.486871626746742,0.130561053355582,-3.72907244720791,0.000192185896670061,0.000588473215603728
"ABCF1",779.056151211972,-0.0158695735660648,0.0651761113156593,-0.243487579202227,0.807627705994375,0.854511415257352
"ABCF2",164.669110633954,-0.105391506328738,0.0855613248905255,-1.23176571264628,0.218036614797921,0.296723606449438
"ABCF3",783.57669082603,-1.30020354326683,0.0944082360707144,-13.7721410480854,3.74934373696152e-43,1.34668510528753e-41
