"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",94.5586517861657,0.300173027995348,0.319021795000797,0.940916992817366,0.346747398736075,0.620826673267484
"A4GALT",6.15834558072302,0.243925287938083,0.320717963222791,0.76056010548008,0.446919855996839,NA
"AAAS",170.381755451937,-0.0384137826259882,0.124774840592471,-0.307864810274148,0.758185203426751,0.889396186511982
"AACS",100.903949705871,-0.0765076171313999,0.103033567463357,-0.742550403863374,0.457753925010002,0.712233009385465
"AADAC",15.3198909304415,-0.487499427664386,0.647971573737927,-0.752346935301756,0.451842449202161,0.707803365760235
"AADAT",31.0040812911976,0.239345433737733,0.206561507417174,1.15871266011991,0.246573328632061,0.520937602583418
"AAGAB",133.199365850364,0.030470936078012,0.0877450660635637,0.3472666606227,0.728390995054136,0.873031172020633
"AAK1",935.146966126057,0.01949482622184,0.113951515395884,0.17108000849407,0.864160855030424,0.941168203331823
"AAMDC",44.0338796218626,0.246433948154808,0.148971981562976,1.65423018187237,0.098080752617373,0.321916390618869
"AAMP",600.028881425868,0.0524572476166506,0.0472864267067656,1.10935106054747,0.267278765808158,0.543312409300603
"AANAT",11.3738470393441,0.203253398464148,0.28182724697662,0.721198537915,0.470787371230667,0.721215788353846
"AAR2",168.79512312355,0.101930464745621,0.0658073000658301,1.54892336630823,0.121400143157285,0.362866361964633
"AARD",34.4206256868598,-0.405265977673918,0.29798933591117,-1.3600016135971,0.173829413272606,0.435903338422321
"AARS2",119.407433243624,-0.0933356564703885,0.106094774694121,-0.879738486079844,0.379000995252596,0.648701127769339
"AARSD1",555.170032235152,-0.0187855420394533,0.0549017276844204,-0.342166682757856,0.732225456907938,0.874967278714813
"AASDH",42.9639455399023,0.164409757104773,0.125584092564086,1.30916068865071,0.190479925298768,0.454393611684913
"AASDHPPT",195.744566300731,0.0194861947695303,0.0715021599430336,0.2725259598459,0.785217633314477,0.903563977558395
"AASS",9.42242109890484,0.338800639803871,0.202735074662813,1.67114960431667,0.0946921315538912,0.31610075890427
"AATF",158.603280235676,-0.208622993325118,0.115650434928662,-1.80391014918194,0.0712453936705776,0.270107091543495
"AATK",1761.29507908269,0.137396015603534,0.101114477586514,1.35881645124435,0.174204758905425,0.436074352312372
"ABAT",1336.40584497305,0.279593692523163,0.136012057458037,2.05565372473999,0.0398159053396469,0.196960736450707
"ABCA1",296.190405261318,0.437552119433736,0.115777711972223,3.77924310284102,0.000157305790937566,0.00984115415434469
"ABCA17",45.7526295339892,-0.187749843248733,0.125680798895971,-1.49386258599564,0.13521153918142,0.382977625437245
"ABCA2",3367.9806986495,0.00116048039801905,0.121922129947802,0.00951820968445905,0.992405682115996,0.997312755655701
