"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","hgnc_symbol"
"ENSG00000128274",118.492256880072,0.130929345081065,0.100531335692271,1.30237347568765,0.192788745270986,0.384628487044554,"ENSG00000128274","A4GALT"
"ENSG00000118017",44.5737100539919,-0.24118356915651,0.111716261514289,-2.15889402211746,0.0308583897522217,NA,"ENSG00000118017","A4GNT"
"ENSG00000094914",120.856571957092,-0.13275919909578,0.0789331583258042,-1.68191925816276,0.0925844977490096,0.242383374676735,"ENSG00000094914","AAAS"
"ENSG00000081760",30.1416538677345,-0.53449002922233,0.196721495449761,-2.71698844094457,0.00658789084438533,NA,"ENSG00000081760","AACS"
"ENSG00000114771",2342.34489734392,0.0320458318906153,0.0638943256564922,0.501544253912306,0.615988141048027,0.772145850319896,"ENSG00000114771","AADAC"
"ENSG00000109576",1795.15670134362,0.0239757632640916,0.0765574892141812,0.313173322560459,0.754148985224496,0.866147212921195,"ENSG00000109576","AADAT"
"ENSG00000103591",144.218665868818,0.0404795475170163,0.0736316730601252,0.549757269320256,0.582485870678734,0.74994248865364,"ENSG00000103591","AAGAB"
"ENSG00000115977",154.605544322295,0.226898821873484,0.111159839928701,2.04119421203755,0.0412315267992005,0.146455690830857,"ENSG00000115977","AAK1"
"ENSG00000087884",242.496404584213,0.179724443500858,0.0794537731831532,2.26200010774271,0.0236973966404288,0.104204127268917,"ENSG00000087884","AAMDC"
"ENSG00000127837",834.661900987298,0.0669724425443019,0.0583536441477278,1.14769940288142,0.251092677779673,0.45325273972447,"ENSG00000127837","AAMP"
"ENSG00000131043",282.085210197286,0.186169946767034,0.0548803944649201,3.39228514266666,0.000693122681449187,0.0127066582624751,"ENSG00000131043","AAR2"
"ENSG00000124608",147.496271268139,0.155283272314709,0.071776636577049,2.16342363922304,0.030508611030678,0.121281631567257,"ENSG00000124608","AARS2"
"ENSG00000266967",1447.74238552327,0.155287894740259,0.0687557568304979,2.25854389361297,0.0239117712551588,0.104831545172464,"ENSG00000266967","AARSD1"
