"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1M",15.2944931749642,0.2742369531068,0.340509091833542,0.805373365010941,0.420604257038285,NA
"A4GALT",115.836135611255,-0.0199310492969802,0.0983714933186744,-0.20261001052829,0.839439865017859,0.932710961130955
"A4GNT",43.7878963271321,-0.289026475703703,0.118024372474495,-2.44887110724661,0.0143304719471093,NA
"AAAS",115.379222773515,-0.181180356148441,0.0836226777563988,-2.16664140648829,0.0302622075573687,0.185373709619954
"AACS",28.5213696093745,-0.457896259300902,0.213088324708141,-2.14885662988841,0.0316457666872116,NA
"AADAC",2340.95559361395,-0.0804228909591245,0.0514129506434935,-1.56425355776195,0.117758034036038,0.364934495474981
"AADAT",1811.91376693441,-0.0896381607031498,0.0711338226452846,-1.26013417203991,0.207620964799995,0.481619223552022
"AAGAB",138.08458027689,0.0231990997610575,0.0563412549245448,0.411760437216512,0.680515021971476,0.847278314101416
"AAK1",154.927250563672,0.124549633862981,0.0993767177181682,1.25330798523859,0.210093643491972,0.483921418816345
"AAMDC",233.801870667389,0.125506878471567,0.0737596047500031,1.70156658101617,0.0888366466729562,0.313440573293962
"AAMP",811.465840383149,-0.020740184942872,0.0428013293867859,-0.484568709430672,0.62798231419385,0.817678804499062
"AAR2",276.522559421323,0.0946518160167744,0.0458019723279542,2.06654454395637,0.0387770909639078,0.207580808020452
"AARS2",143.226266102002,0.0937575123190864,0.0689880705151499,1.35903949217564,0.174134074757198,0.441371402207711
"AARSD1",1421.11113483896,0.0226093830068773,0.0539315745908961,0.419223491588801,0.675052805225815,0.844343543615784
"AASDH",100.332156444011,0.0404251254683756,0.0625163912365929,0.646632421813776,0.51786986932952,0.744241537375802
"AASDHPPT",131.928173881824,-0.0519645671868506,0.0672163961924392,-0.773093621950173,0.439466975474575,0.690289853563181
"AASS",273.551803617848,0.099746029493628,0.0780585744745257,1.27783565309894,0.201307380355621,0.474933593136587
"AATF",295.582554742156,0.00900253282229756,0.0471357478659999,0.190991619521779,0.848532158954217,0.937071961689247
"AATK",56.5746553880402,0.0696366618877334,0.109198265952375,0.637708495463692,0.52366345433599,0.748440442060634
"ABAT",3802.6908168811,0.172345637968029,0.0662020849149058,2.60332643888115,0.00923240003026261,0.0994947312723622
"ABCA1",322.75920178228,-0.213595722573935,0.17685005849709,-1.20777863682442,0.227132420915115,0.503902698140446
"ABCA13",494.354719524167,-0.0839487507031744,0.11911820356654,-0.704751651633836,0.480964801383243,0.720712952179299
"ABCA17",92.2694023737262,-0.0100423077116196,0.0924985491581331,-0.108567191626449,0.913545784183447,0.967169312431026
"ABCA2",1349.30362358809,0.197545092751445,0.0825699771412818,2.39245667239842,0.0167360039912014,0.13398053160358
"ABCA3",3432.51512512224,0.185625654930747,0.0994352206178792,1.86679984996554,0.0619295434713339,0.263885221534908
"ABCA4",46.3210313475535,0.359079097322049,0.228441532839893,1.57186433157808,0.115982018145319,NA
"ABCA5",158.069619941388,0.173169630275794,0.0707960855620135,2.44603397067917,0.014443739067611,0.124263793865159
"ABCA6",7.86486282829733,-0.179623145383723,0.28986850257512,-0.619671139803033,0.535474320012492,NA
"ABCA7",35.4873950431778,0.232235830173255,0.151357845075892,1.53434947529023,0.124943700227542,NA
"ABCA8A",100.844586573579,-0.187567219363262,0.131943961372687,-1.42156728820247,0.155151906714612,0.416859942740403
"ABCA9",34.4519733977808,0.115728754652077,0.167389382810165,0.691374522739735,0.489330210466921,NA
"ABCB1",74.1523547174553,0.433458262611399,0.138379370532926,3.13239076707799,0.00173388933280601,0.0423993738182164
"ABCB10",236.082787020556,-0.19051536828117,0.0947729585489478,-2.01022919615593,0.0444069366786674,0.222563799948505
"ABCB11",17.9130119730319,0.318774137081534,0.308884508050972,1.03201723871801,0.302064041915313,NA
"ABCB4",9.71340094267604,0.555418735724351,0.265185016778573,2.09445745642605,0.036219249093044,NA
"ABCB6",467.528953850642,0.118330133310974,0.0688875879697038,1.71772792165425,0.0858462539583369,0.308849044114728
"ABCB7",317.641748629971,0.0565298947486157,0.0623845548871533,0.906152089261068,0.364855357901551,0.631030485091895
"ABCB9",146.730250227488,0.409973097998093,0.265909689056643,1.54177570382087,0.123128108109455,0.374319480350565
"ABCC1",263.770247697552,0.173673398415975,0.0652545577454109,2.66147537300853,0.00777990318764971,0.0914262037935842
"ABCC10",203.953660666973,0.0407757048979884,0.0641319344244173,0.635809683022187,0.524900475434112,0.749433335298282
"ABCC2",402.682824929545,0.142099474583138,0.174185089153375,0.815795859874177,0.414616901555016,0.67232765171563
"ABCC3",135.404332014613,0.215494067708379,0.129277588369959,1.66690971285519,0.095532359259691,0.324336073458485
"ABCC4",1199.0389044514,0.0656495059755391,0.0994379637082097,0.660205655137717,0.509121863720304,0.739408569230637
"ABCC5",152.985395765208,-0.0302737169105799,0.0892867513673581,-0.339061691090348,0.734563256897896,0.878865997580431
"ABCC6",286.616577231999,-0.0722015821650704,0.141430385885724,-0.510509687949304,0.609694429117686,0.806534609782051
"ABCC8",12.0328076268195,0.105505352415702,0.238049954245548,0.443206774603594,0.657616179190036,NA
"ABCC9",9.33927530335133,-0.302598552412303,0.203526941261482,-1.48677394027918,0.137074526435982,NA
"ABCD1",95.5875252933734,0.0384603927856599,0.0783623639660948,0.490801844649565,0.623566605236336,0.814292867985217
"ABCD3",1860.408499626,-0.10835251647336,0.0585243126652935,-1.85141032057975,0.0641105454513687,0.268444612689064
"ABCD4",444.811630050205,-0.0938269237794497,0.0653805521116317,-1.43508919317855,0.151261682669869,0.413690744627892
"ABCE1",7312.16693548811,-0.0451675801614726,0.0488777727925367,-0.924092436723497,0.355438190774762,0.622967929932065
"ABCF1",1153.68326197691,0.0289294419935742,0.0389799562553521,0.742161992282947,0.457989193608509,0.704891602413259
"ABCF2",284.994180720857,0.111164894593154,0.0658364099642424,1.68850176754064,0.0913149499543177,0.317000961391645
"ABCF3",819.149563738572,0.0436113942489633,0.0366482033410819,1.19000088061823,0.234046045927332,0.510721692337684
"ABCG1",89.464008822789,0.196687044704203,0.126776113598621,1.55145191882852,0.120793421307059,0.370088764913376
"ABCG2",772.692182576564,-0.114382089786831,0.0724310154114853,-1.5791866113849,0.114293260003314,0.357412067852192
"ABCG3",120.413105635553,0.331384795241375,0.186938097473925,1.77269801992928,0.0762787593920659,0.292790382429989
"ABHD1",933.884636829107,-0.0851192754554116,0.0668334123294558,-1.27360361365084,0.202803930925753,0.476613844297181
"ABHD10",220.159511329385,-0.157631284737548,0.0608342683292125,-2.59115937557605,0.00956531815185122,0.101638432737515
"ABHD11",63.3859861935303,-0.0171407853146369,0.0778809797983807,-0.220089492441046,0.825801458003911,0.926425173708816
"ABHD12",126.342117585519,0.115657785549816,0.0689602965505095,1.67716485188116,0.0935102500546033,0.321036687757661
"ABHD12B",23.6748292772481,0.0678939008548967,0.170016927664308,0.399336123688523,0.689645553317256,NA
"ABHD13",143.875290845502,-0.0799382708377815,0.060382276117447,-1.32386978394615,0.185546294914144,0.457873930129898
"ABHD14A",221.440993616657,-0.0752065993224487,0.139488564694259,-0.53915960413882,0.589776731133383,0.794863701424622
"ABHD14B",911.877553587606,-0.0337520752544174,0.0923136876623061,-0.365623734780115,0.71464586183407,0.867068345199579
"ABHD16A",397.485576597706,-0.00148661861248692,0.0674693457343607,-0.0220339858984257,0.982420845286655,0.992846654186009
"ABHD16B",11.7304234003174,0.0743955326537617,0.193414317237265,0.384643358963438,0.70050166524825,NA
"ABHD17A",971.712789621878,0.10843458828394,0.0547937439655144,1.97895928323836,0.0478205907056017,0.230389623429222
"ABHD17B",53.673675708138,-0.265937760507469,0.0887332242997452,-2.99704831652593,0.00272607503170016,0.0554281774738147
"ABHD17C",326.83456979704,0.0302463436983699,0.0488261973797202,0.619469574153908,0.53560705971189,0.758083029663505
"ABHD18",116.210272178585,-0.0709049408411505,0.0720263339921765,-0.984430789561665,0.32490374552541,0.600608401583986
"ABHD2",374.353382217656,0.253101280679409,0.108009663118991,2.3433207119679,0.0191129458170944,0.144370439162072
"ABHD3",200.366066767029,-0.0826557826577808,0.0805928461962314,-1.02559701709165,0.305081574078629,0.582951751860226
"ABHD4",914.674865785708,0.0145276890644327,0.0458398536150385,0.316922675766719,0.751302275497366,0.886249553993958
"ABHD5",149.443289755514,-0.153920391436253,0.0643403702578309,-2.39228327128751,0.0167439137641987,0.13398053160358
"ABHD6",309.500014587401,-0.0578650549559981,0.0566500005215944,-1.02144844524654,0.307042022889535,0.584787474930643
"ABHD8",75.6674064598344,0.0444006437151118,0.0976325111071796,0.454773140745805,0.649272455337351,0.83004482358419
"ABI1",193.158551143142,-0.0334575137087783,0.0516410828589885,-0.647885595275716,0.517058948133996,0.743748083405664
"ABI2",27.3045911572262,-0.189623482997931,0.125571894049703,-1.51007902232387,0.131023261578336,NA
"ABI3",32.6436214575653,0.108008103239427,0.128582525516333,0.839990525973201,0.40091369851159,NA
"ABI3BP",105.887578102808,0.0116676449791757,0.094288376702217,0.123744255519687,0.90151777008778,0.961815058687569
"ABITRAM",28.2891890224429,-0.0982406129300676,0.131209003460884,-0.748733778466318,0.454017680180914,NA
"ABL1",95.9163841706864,0.0701469248723319,0.0917015162092079,0.764948364782744,0.444302292467544,0.694553703022056
"ABL2",37.1655513532918,0.0626573970654217,0.164937655886947,0.379885337453619,0.704030531903632,NA
"ABLIM1",305.12100106677,0.0539378092166175,0.0558641033164742,0.965518213208505,0.334285317977098,0.606764559674884
"ABLIM2",7.85651504948835,0.00956870594627678,0.224253942850109,0.0426690644751451,0.965965340073229,NA
"ABLIM3",122.071572437641,0.26899470575576,0.186870089086855,1.43947438067916,0.150016163535701,0.411936031174606
"ABO",148.32245190855,0.0261984689186514,0.0913395587452336,0.286824999798004,0.774246319776106,0.898987004624573
"ABO2",13.8225049108694,-0.00540916856859626,0.202705731012853,-0.0266848329426526,0.97871111038395,NA
"ABR",216.385739374085,0.0745101787822847,0.088098961657057,0.845755470675474,0.397689171222681,0.657591735366006
"ABRAXAS1",39.9720615790262,-0.0949997470060672,0.102350900681048,-0.928176951779947,0.353315788022646,NA
"ABRAXAS2",241.92152266055,-0.0788180118690325,0.0496561601263672,-1.58727561028587,0.112450236635398,0.354116043895743
"ABT1",181.995349818173,-0.097914822200012,0.067712831486538,-1.44603053882747,0.148168636444296,0.409428439806851
"ABTB1",259.01114708937,-0.0620856590575081,0.0636441245287928,-0.975512814689129,0.32930594826395,0.604230693630942
"ACAA1A",5051.23586065929,-0.178047523867153,0.0477090137239277,-3.73194727724702,0.000190005274982522,0.0146684960729379
"ACAA2",7070.97572710668,-0.2352037629048,0.101841155967193,-2.3095158403403,0.0209149737139529,0.151233327031009
"ACACA",44.4100232203886,-0.411828345056806,0.136401786885605,-3.01922983899171,0.00253418198063903,NA
