"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","hgnc_symbol"
"ENSG00000121410",12.8844545060234,1.82117164268433,0.571061824198656,3.18909716166002,0.0014271789978516,0.0203165075073425,"ENSG00000121410","A1BG"
"ENSG00000166535",11.1643502822401,0.171347903120869,0.201504386055594,0.850343292644731,0.395134253759317,0.607421109646594,"ENSG00000166535","A2ML1"
"ENSG00000128274",51.0764935161941,0.113755189481064,0.111364140192237,1.02147054953866,0.307031555227505,0.526783791200333,"ENSG00000128274","A4GALT"
"ENSG00000094914",75.8486227664554,-0.0334121883436873,0.078072924088404,-0.427961277662072,0.668679312482384,0.818114584028438,"ENSG00000094914","AAAS"
"ENSG00000081760",260.570360469832,0.201663413105453,0.127438395330083,1.58243842119259,0.11354951950143,0.288366097265849,"ENSG00000081760","AACS"
"ENSG00000114771",239.209844749088,-0.190842627612448,0.130193561539883,-1.46583767549815,0.142692514371818,0.331172529360014,"ENSG00000114771","AADAC"
"ENSG00000109576",22.3778611655751,-0.475339274331574,0.692371879538504,-0.686537521784404,0.492374211642711,0.688946725562027,"ENSG00000109576","AADAT"
"ENSG00000103591",75.5438758024234,0.0859092139189785,0.0640968403390672,1.34030341378024,0.180146722092935,0.382191065986976,"ENSG00000103591","AAGAB"
"ENSG00000115977",69.1301534432833,0.166302320196239,0.107136082958896,1.55225313081535,0.120601667725106,0.298523976646779,"ENSG00000115977","AAK1"
"ENSG00000087884",74.5586915961484,-0.0710479616877153,0.0864665003308463,-0.821681939431628,0.411257940740786,0.621302078161996,"ENSG00000087884","AAMDC"
"ENSG00000127837",267.823942204574,-0.0445084573657293,0.053840908298175,-0.82666616839445,0.408426302013098,0.619365336701592,"ENSG00000127837","AAMP"
"ENSG00000131043",126.920604213913,0.0868544740262771,0.0561575541309619,1.54662138282819,0.121954570467032,0.300614748912682,"ENSG00000131043","AAR2"
"ENSG00000205002",25.965275981682,-0.462854276754158,0.252513626077979,-1.83298732802334,0.0668044555966895,0.209910989872623,"ENSG00000205002","AARD"
"ENSG00000124608",47.9825972458644,0.0674613191775818,0.0760091913859036,0.887541597898026,0.374787380735109,0.5886971239614,"ENSG00000124608","AARS2"
"ENSG00000266967",184.891743035485,-0.130559403201074,0.0526753880841814,-2.47856556827688,0.0131911863380672,0.0775794154853849,"ENSG00000266967","AARSD1"
"ENSG00000157426",46.8840683342194,-0.133080064710767,0.0720577875962371,-1.84685193856433,0.0647686019508569,0.206068341401535,"ENSG00000157426","AASDH"
"ENSG00000149313",67.550077288392,-0.0918099490737649,0.0750271246960247,-1.22369009136011,0.221069158978685,0.431338363756557,"ENSG00000149313","AASDHPPT"
"ENSG00000008311",16.9534354603859,-0.124175494227266,0.193325787453076,-0.642312108814792,0.520670553672096,0.710764803512596,"ENSG00000008311","AASS"
"ENSG00000275700",103.499429571178,0.0552037931860148,0.0591056128758695,0.933985631820634,0.350311304646341,0.568118124430369,"ENSG00000275700","AATF"
"ENSG00000181409",124.049047070206,0.254664407585227,0.100290949874515,2.53925611337679,0.0111088467767294,0.0703726087311776,"ENSG00000181409","AATK"
"ENSG00000183044",41.1048545117935,-0.640895726932525,0.438403512615763,-1.46188547420293,0.143772596140091,0.332923082896358,"ENSG00000183044","ABAT"
"ENSG00000165029",216.454420032366,0.420919414954065,0.192515062284973,2.18642328531673,0.0287846515686238,0.125580896237275,"ENSG00000165029","ABCA1"
"ENSG00000179869",12.2815198138944,-0.280326529097119,0.253593261582781,-1.10541789378584,0.268978553738217,0.48709471001347,"ENSG00000179869","ABCA13"
"ENSG00000107331",279.307597692768,0.204639095548589,0.0977323843391899,2.09387192313214,0.0362713909940379,0.145412271933883,"ENSG00000107331","ABCA2"
"ENSG00000167972",1825.0718956017,0.0386273197759228,0.217623211982971,0.177496322308419,0.859118553743762,0.930999088819689,"ENSG00000167972","ABCA3"
"ENSG00000198691",37.7022526499666,0.332651936275601,0.155006901808837,2.14604596565542,0.0318693116152636,0.133597588440148,"ENSG00000198691","ABCA4"
"ENSG00000154265",252.519305931686,0.0565054615059532,0.150763668577833,0.374794949200787,0.707812970885122,0.842928562930402,"ENSG00000154265","ABCA5"
"ENSG00000154262",78.2633252660395,-0.13568454067785,0.128267570300981,-1.05782420575571,0.290135595128756,0.50961990747014,"ENSG00000154262","ABCA6"
"ENSG00000064687",133.750360746503,0.169542811998148,0.0764560453037696,2.21752003160159,0.0265875757446423,0.119567081218031,"ENSG00000064687","ABCA7"
"ENSG00000154258",49.8684248322324,-0.252682471321037,0.0921808549524153,-2.74115998871429,0.00612226887548827,0.0492045756373994,"ENSG00000154258","ABCA9"
"ENSG00000085563",136.234968343249,0.0268232467510159,0.0983146410146696,0.272830643271266,0.784983402924473,0.889594087233312,"ENSG00000085563","ABCB1"
"ENSG00000135776",48.1935636314536,-0.023084972153237,0.0926570102421176,-0.24914436687429,0.803249111427942,0.899338547668418,"ENSG00000135776","ABCB10"
"ENSG00000073734",13.8115705201659,1.12310105846723,0.556848444361216,2.01688820331641,0.0437071814157882,0.162104180461483,"ENSG00000073734","ABCB11"
"ENSG00000005471",25.7359263687922,-0.0496937430968139,0.296562654630257,-0.167565748151163,0.866924919148825,0.934725258786738,"ENSG00000005471","ABCB4"
"ENSG00000115657",92.224650325578,-0.0292382901608901,0.0665739151563065,-0.439185379021837,0.660527218351586,0.813042174129923,"ENSG00000115657","ABCB6"
"ENSG00000131269",95.4557380944368,0.0869720906589325,0.0558001035309997,1.55863672565796,0.119082385521815,0.296298539776935,"ENSG00000131269","ABCB7"
"ENSG00000150967",27.8777501032243,0.156202487585486,0.12702430636351,1.22970549540712,0.218807408207965,0.429742027109166,"ENSG00000150967","ABCB9"
"ENSG00000103222",525.477040502005,0.147822903500338,0.10880625136779,1.35858833147981,0.174277074755319,0.374374420711151,"ENSG00000103222","ABCC1"
"ENSG00000124574",111.976467203202,0.0251481277692652,0.0719115430350483,0.349709194211123,0.726556952882934,0.855307635470561,"ENSG00000124574","ABCC10"
"ENSG00000023839",16.9214064519457,0.721211433223411,0.54837989072767,1.31516754246113,0.18845360088463,0.3922245343652,"ENSG00000023839","ABCC2"
"ENSG00000108846",88.4045104493095,0.0310031316437059,0.0764017045256344,0.405791098983973,0.684896099340854,0.827941065684939,"ENSG00000108846","ABCC3"
"ENSG00000125257",117.2512179204,0.0961002414842761,0.123904667051959,0.775598238313146,0.437986240887523,0.642394381988788,"ENSG00000125257","ABCC4"
"ENSG00000114770",269.717179352254,0.118661906253851,0.0597108430866717,1.98727567925328,0.0468918552875405,0.168981868379168,"ENSG00000114770","ABCC5"
"ENSG00000091262",30.3667697467226,0.735958435778288,0.272869006148056,2.69711260420307,0.00699436143524389,0.0527293890167055,"ENSG00000091262","ABCC6"
"ENSG00000006071",17.6038255482472,0.3234251968909,0.22651462124353,1.42783364321184,0.153339746774157,0.34591954135158,"ENSG00000006071","ABCC8"
"ENSG00000069431",22.4071269422722,-0.174431039973601,0.183457335506874,-0.950798939119362,0.341706451241972,0.559938763967881,"ENSG00000069431","ABCC9"
"ENSG00000101986",121.270314939984,0.11595616463871,0.0799868697599012,1.44968999270479,0.147144987636236,0.337087401591606,"ENSG00000101986","ABCD1"
"ENSG00000173208",83.9030886657875,0.224757310043153,0.0727095356528495,3.09116690163245,0.00199371534646159,0.0246407346451735,"ENSG00000173208","ABCD2"
"ENSG00000117528",283.897264794416,0.0305763069855226,0.059662746350282,0.512485744555037,0.608311094718737,0.775894287968711,"ENSG00000117528","ABCD3"
"ENSG00000119688",69.8063080976936,-0.17936477328026,0.0892621858709329,-2.00941497824856,0.0444931430725467,0.163747949660475,"ENSG00000119688","ABCD4"
"ENSG00000164163",777.819155068127,-0.249706058054107,0.0846211884211732,-2.95086919379199,0.00316881084443357,0.0328271889063464,"ENSG00000164163","ABCE1"
"ENSG00000204574",428.935151303922,0.00525727358611624,0.0492156250169446,0.106821229727474,0.914930804952998,0.959235791019421,"ENSG00000204574","ABCF1"
"ENSG00000033050",139.704801472723,0.0502344026747666,0.0513705839494777,0.977882648251993,0.32813236799735,0.545467363877821,"ENSG00000033050","ABCF2"
"ENSG00000161204",311.82557029854,0.0424248669815027,0.0487127230068473,0.870919635831881,0.383798034534794,0.596864327902425,"ENSG00000161204","ABCF3"
"ENSG00000160179",765.724228458018,0.265668375676321,0.160958867048461,1.6505358204114,0.0988333932353813,0.265418851095109,"ENSG00000160179","ABCG1"
"ENSG00000118777",46.1791922833035,-0.176618009440533,0.172795304630824,-1.02212273544051,0.306722813805165,0.526579691813954,"ENSG00000118777","ABCG2"
"ENSG00000172350",26.905058639024,0.243596131351764,0.109278425938127,2.22913287101781,0.0258050653855167,0.117236546142466,"ENSG00000172350","ABCG4"
"ENSG00000143921",11.9443348602211,-1.20384502599433,0.676267929130829,-1.78013029176405,0.0750546401989436,0.225073318665156,"ENSG00000143921","ABCG8"
"ENSG00000143994",80.8211856694173,-0.0775564130281149,0.0941536003209186,-0.823722223725563,0.410097408890459,0.620667712419689,"ENSG00000143994","ABHD1"
"ENSG00000144827",40.2994269698664,-0.280885620951523,0.0977226814645147,-2.87431348323694,0.00404906848806821,0.038225981114153,"ENSG00000144827","ABHD10"
"ENSG00000106077",15.3834046502274,0.0187083998866938,0.141574629784766,0.132145144332258,0.894869488968011,0.948798456890454,"ENSG00000106077","ABHD11"
"ENSG00000100997",190.099474778806,0.0689071697171008,0.0840973952131379,0.819373412725344,0.412573399239088,0.622004259411542,"ENSG00000100997","ABHD12"
"ENSG00000139826",83.0970873702674,-0.0517528007836584,0.0573763355810574,-0.901988603133176,0.367062921922947,0.581608507857091,"ENSG00000139826","ABHD13"
"ENSG00000248487",67.0174749981816,0.00507712350569405,0.121378410614544,0.0418288843954075,0.966635108740193,0.98576146844515,"ENSG00000248487","ABHD14A"
"ENSG00000114779",163.530048912615,-0.28365322756642,0.173602600358321,-1.63392268883618,0.10227508499203,0.270698081856365,"ENSG00000114779","ABHD14B"
"ENSG00000204427",185.465838854141,-0.0588192147372332,0.0514683462970411,-1.1428230935917,0.253112048490098,0.46958995583204,"ENSG00000204427","ABHD16A"
"ENSG00000183260",10.4291552603653,-0.0435900348894892,0.183220531395823,-0.237910208847277,0.811950737312908,0.905317783497633,"ENSG00000183260","ABHD16B"
"ENSG00000129968",428.017820140297,0.0558819108660935,0.0439402848172034,1.27176942749845,0.203455054465125,0.410512545729583,"ENSG00000129968","ABHD17A"
"ENSG00000107362",33.5800661124873,-0.0210444007068551,0.0844884601226867,-0.249080178243234,0.803298761820338,0.899338547668418,"ENSG00000107362","ABHD17B"
"ENSG00000136379",75.679532006347,0.0552509418852632,0.0677587228537017,0.815407073190501,0.41483933692587,0.624572048964391,"ENSG00000136379","ABHD17C"
"ENSG00000164074",36.8527949878881,-0.142876882273881,0.0936753360847782,-1.52523479760536,0.127200544150256,0.308614075715114,"ENSG00000164074","ABHD18"
"ENSG00000140526",166.453378195896,0.23868219114429,0.0776428760109113,3.07410291075188,0.00211136586764416,0.025484690599852,"ENSG00000140526","ABHD2"
"ENSG00000158201",65.5765694894685,0.119056907472263,0.0880651941827429,1.35191784424173,0.176401598461446,0.377058037255141,"ENSG00000158201","ABHD3"
"ENSG00000100439",497.840720316241,0.0156496874249082,0.0598526263914488,0.261470354242367,0.793729808415686,0.894232920664965,"ENSG00000100439","ABHD4"
"ENSG00000011198",176.59102185054,-0.0524438727002002,0.0688386938696826,-0.76183712607158,0.446157219173177,0.649372468824478,"ENSG00000011198","ABHD5"
"ENSG00000163686",52.2126248565248,-0.267380037800756,0.0890173282947295,-3.0036852703047,0.00266731092396847,0.0292225900462385,"ENSG00000163686","ABHD6"
"ENSG00000127220",42.9514983264841,0.126377196134595,0.085806147505808,1.47282216727002,0.140798993437443,0.328733890504977,"ENSG00000127220","ABHD8"
"ENSG00000136754",210.980866515602,0.0716401136803338,0.0477124231105094,1.50149812166119,0.13322677215288,0.317743805090422,"ENSG00000136754","ABI1"
"ENSG00000138443",41.6329559623812,0.19984495079863,0.0862938102258842,2.31586657577771,0.0205655547943041,0.101933262609757,"ENSG00000138443","ABI2"
"ENSG00000108798",96.2770943855552,-0.0176900920550327,0.0814532638549201,-0.217180886533181,0.828067379540464,0.9144225570121,"ENSG00000108798","ABI3"
"ENSG00000154175",57.7605710391163,-0.0043305711953676,0.16534808444851,-0.0261906341994313,0.979105286147735,0.990989389360488,"ENSG00000154175","ABI3BP"
