"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",11.2847005062194,0.359631937817908,0.245494518344969,1.46492858676606,0.142940402495661,0.31213466106855
"A3GALT2",7.5259911093448,-0.249647022901386,0.32755896509385,-0.762143764954986,0.445974204797409,NA
"A4GALT",92.9981532806903,0.199079143526572,0.116521878456507,1.70851299484397,0.0875411972587663,0.230180034363624
"AAAS",140.543852973512,-0.0614027576720926,0.0832684030064021,-0.737407653505396,0.460874482575641,0.649090926819676
"AACS",501.348044955948,0.187083540060781,0.130097610669623,1.43802441180777,0.15042712777252,0.322744770407459
"AADAC",430.235628611347,-0.0734999530598622,0.105695096338034,-0.695396055317404,0.486807131958773,0.670379949845251
"AADAT",10.6450198708695,-0.555706309253125,0.747717885835107,-0.743203178338406,0.457358679396434,0.646353150347892
"AAGAB",131.361027293788,0.0667998253228679,0.0681007924266555,0.980896446907153,0.326643809822265,0.5281242579565
"AAK1",131.109713845478,0.182505869672057,0.108209877411265,1.68659159439227,0.0916819093482119,0.236785658075721
"AAMDC",139.661814553087,-0.127898660426325,0.0940713318140269,-1.35959232169874,0.173958969288926,0.353902541140887
"AAMP",520.700283133255,-0.00924502209903877,0.0427751216403856,-0.216130819609644,0.828885776829452,0.904148062161987
"AAR2",236.414443841483,0.0304241053005888,0.062569351504424,0.486246134394372,0.626792665280315,0.773252117787789
"AARD",42.8097742069819,-0.664496117419725,0.262561697570322,-2.53081894110527,0.01137965735483,0.0598804765135604
"AARS2",83.3692313061607,0.0858001838479478,0.0815491359851865,1.0521286683348,0.292740520739054,0.491462188102061
"AARSD1",356.530692124895,-0.117277393597526,0.0443164192818178,-2.64636438363248,0.00813621218142766,0.0478044979540455
"AASDH",83.8400174378782,-0.0775520182152412,0.0728621901350627,-1.06436573031205,0.287163052004643,0.485383833225378
"AASDHPPT",123.249004609289,-0.122704813527491,0.0780262969635685,-1.57260844487831,0.115809511051436,0.274651352606049
"AASS",23.1635045503873,0.0942119004603795,0.175354720334924,0.537264695700444,0.591084788227225,0.748620601829636
"AATF",191.456025154007,0.0703409418497142,0.0556632609523623,1.26368704682813,0.206342376164445,0.395076026871217
"AATK",241.476223947581,0.300557268832819,0.101332771585213,2.96604212172441,0.00301659171367286,0.0245717225872258
"ABAT",44.7140264106703,0.0156444233891363,0.329210772265713,0.0475209947762867,0.962097997824733,0.981062253054904
"ABCA1",418.261733794884,0.458639462275005,0.176730159935891,2.59513974548191,0.00945524665348814,0.0528393029979012
"ABCA13",11.4203278814784,-0.453731020556015,0.313490705279297,-1.44735079195338,0.147798700249111,0.319380518987231
"ABCA17",82.7124382846521,0.0136035887550182,0.125309588265096,0.108559839221875,0.913551616084577,0.954839952364695
"ABCA2",544.675141107949,0.216805016262005,0.0962200609097223,2.25322052607533,0.0242452478161519,0.0994495411395334
"ABCA3",3617.62308833172,0.13172116338621,0.0962000569612484,1.36924205189681,0.170923625123914,0.350671952363136
"ABCA4",60.8875173422329,0.241650894032373,0.148264795684578,1.62986023024958,0.103131040634809,0.255454800084264
"ABCA5",505.748385033273,0.120893905683281,0.149088315382948,0.810887864503353,0.41743006997265,0.612252720421237
"ABCA6",144.176835872976,-0.0687392311547892,0.128864644313954,-0.533421960078664,0.593741519396917,0.750782708953519
"ABCA7",255.862268820306,0.207686624329952,0.0847054047897711,2.45186980506622,0.0142116072021837,0.0695730770540339
"ABCA8A",219.540744289769,0.00109127662738474,0.156867708758231,0.00695666836739899,0.994449426485281,0.997659187701068
"ABCA9",88.5480869229806,-0.312320454272996,0.0963166913904745,-3.24264101854192,0.0011842732460341,0.0134359251680102
"ABCB1",250.353226661281,0.0254691552898795,0.0988616884569669,0.2576241179713,0.796697014408302,0.887792215668166
"ABCB10",83.4517828804665,0.0250912678801791,0.0845500272071393,0.296762386825825,0.766647923452593,0.870174628234661
"ABCB11",14.9378890771074,1.01480391461197,0.809852499219976,1.25307252319329,0.210179314585991,0.39963450015223
"ABCB4",33.7578952972528,0.316689069504922,0.238442916347367,1.32815465586558,0.184127020613709,0.367788853744421
"ABCB6",169.346240672958,-0.0269468241350732,0.0698296027969155,-0.385893991312571,0.699575180857976,0.826681554213301
"ABCB7",173.307746998414,0.086331580808141,0.0530855279082597,1.62627337826113,0.10389151240122,0.256721666846389
"ABCB9",45.4864293396565,0.0643921259143486,0.143343595494442,0.44921522787424,0.653276403467498,0.793542011125778
"ABCC1",1042.24438757943,0.224234932642445,0.0587856240531962,3.81445185373096,0.000136485541869398,0.00361958512504798
"ABCC10",210.241111888168,0.0445902146895472,0.0727989906791524,0.612511441072996,0.540199430698985,0.710308883487724
"ABCC2",14.4971528924713,-0.695733449356094,0.529996331928775,-1.31271370657258,0.189279437205544,0.374239587472668
"ABCC3",161.192562979669,0.0122531813961246,0.0868928537730851,0.141014834523941,0.887858223192751,0.940181359734496
"ABCC4",204.711220238934,0.143394527147085,0.0989741034752834,1.44880854801474,0.147391055954469,0.318608485615863
"ABCC5",526.573435717224,0.112860403966122,0.0550340498202019,2.05073775843938,0.0402924917851519,0.13816753078942
"ABCC6",39.2607171831053,0.441419774732824,0.242506111086044,1.82024186011627,0.0687221809553548,0.19630153930206
"ABCC8",22.1789738434632,0.250726895651814,0.266497127130974,0.940824009440787,0.346795054840335,0.548506807168072
"ABCC9",32.1864360610112,-0.17246235094663,0.189192923449507,-0.911568719390597,0.361995795255534,0.562837611846423
"ABCD1",229.101697930607,0.171444035575128,0.0771646257627186,2.22179572414851,0.0262971138318055,0.1043470796651
"ABCD2",158.536501039162,0.192426992916479,0.0784808845879482,2.45189633025657,0.0142105596688239,0.0695730770540339
"ABCD3",545.59780725746,0.0448192640685071,0.0456112179998166,0.982636860710172,0.325786195969363,0.527209335936094
"ABCD4",127.033412313487,-0.152153898355133,0.083810978723999,-1.81544113517869,0.0694561443961962,0.197976617082443
"ABCE1",1497.09597854499,-0.175209138067352,0.0443426549073794,-3.95125502596359,7.77424252800355e-05,0.0026796776016143
"ABCF1",832.201996668431,0.0106077772354922,0.0293947112956432,0.360873666313724,0.718193890181007,0.838965067022785
"ABCF2",249.203599099888,0.000565153131656872,0.0503901206576874,0.0112155542451684,0.991051470031254,0.995537290232301
"ABCF3",603.71638456865,0.0510827810057062,0.0364475558093818,1.40154202034468,0.161052051131787,0.337191070310675
"ABCG1",1471.53741675012,0.321143898469038,0.111265782927252,2.88627725451777,0.00389828578382944,0.0293531637889539
"ABCG2",73.9141399694219,-0.188475931692334,0.19154971001645,-0.983953103746012,0.325138571564326,0.52640606026697
"ABCG3",65.2711641471222,0.0369771583789432,0.119243964846576,0.310096686457209,0.75648743197959,0.862511583104265
"ABCG4",44.0756161048569,0.143481583443566,0.111589529140718,1.2857979108652,0.198513599529313,0.384857782995526
"ABHD1",143.115695717606,0.0132039277299125,0.0725440527631472,0.182012545852969,0.855572880192431,0.919306628253993
"ABHD10",68.0100109807529,-0.206275056757413,0.100387089228266,-2.05479667099792,0.0398986478966988,0.137487849603171
"ABHD11",20.5994520341676,-0.101533584330074,0.162202954628351,-0.625966305994321,0.531337041847613,0.704738138487616
"ABHD12",352.317401268181,0.0808031988678254,0.0877819042115368,0.920499499226013,0.357311794595456,0.558945656220271
"ABHD13",155.661516008874,-0.0693123494805992,0.0567133029363718,-1.22215328488913,0.221649665938613,0.413062503553839
"ABHD14A",121.377147640532,0.0490730839568543,0.122496947359253,0.40060658665179,0.688709795501251,0.819016303934783
"ABHD14B",272.822876475162,-0.106316789223231,0.120725190987848,-0.880651240667183,0.378506615383658,0.57875571934963
"ABHD16A",354.350111404807,-0.066052905648698,0.0521774795175555,-1.26592748939653,0.205539043616167,0.394427928055904
"ABHD16B",9.80471709575302,0.0147329456440805,0.215301719439826,0.0684292985788166,0.945443899592704,0.972188695321713
"ABHD17A",815.303809576333,0.0678703851821783,0.0389304252701582,1.74337641346558,0.0812678855520606,0.21919802819479
"ABHD17B",58.1819713787022,-0.0532164835955702,0.0866496096152112,-0.614157222772163,0.539111437884581,0.70982431577487
"ABHD17C",141.071118110219,0.0552796651055729,0.0756834197552746,0.730406544581652,0.465141719144843,0.652260586097136
"ABHD18",61.2642691858244,-0.0852515732530146,0.098672701308948,-0.863983372524571,0.387597024741221,0.58703300917708
"ABHD2",321.422200889377,0.24798101814159,0.0797716358628649,3.10863649039232,0.00187952808767545,0.0180668923321387
"ABHD3",120.18364231585,0.070370755175105,0.0911798600502784,0.771779591856153,0.440244980951482,0.631775270452212
"ABHD4",969.792971183556,0.0364259862954683,0.042989994238695,0.847313123449586,0.396820613717268,0.59474476891194
"ABHD5",338.449781753355,-0.0859352252695705,0.0621077446119363,-1.38364749527638,0.166466417740671,0.344591750027735
"ABHD6",88.0094326308224,-0.287317787566887,0.0956925242582904,-3.00251027751517,0.00267762931952644,0.0228094349441141
"ABHD8",74.3555532124849,0.0888830690156823,0.0939057605297447,0.946513488781431,0.343886745628892,0.545543934312199
"ABI1",410.475728812051,0.0863296979583681,0.0364917625003869,2.36573111417824,0.0179945080905991,0.081065002616125
"ABI2",71.1077041073632,0.162720436485899,0.0957168757822511,1.7000182585992,0.0891274911615687,0.233043150722167
"ABI3",185.350088637812,0.0277683805251078,0.079990638204531,0.347145380364459,0.728482102240697,0.845001033507291
"ABI3BP",102.933270900574,0.0443117423552809,0.180466461237474,0.24554004135412,0.806038308352625,0.892237129287257
"ABITRAM",26.2753406250137,-0.118173875943078,0.150006767613394,-0.787790296552768,0.430819377824299,0.624309887879712
"ABL1",177.511106095021,0.21987692884632,0.0933000937610212,2.35666353572498,0.0184399462568812,0.0823940198537587
"ABL2",67.302064050142,0.10263762037325,0.148498933861841,0.691167388910288,0.489460355046446,0.672350254244493
"ABLIM1",574.538019489809,0.178375836346638,0.071509921144283,2.49442082290561,0.0126162869933968,0.0643013821379814
"ABLIM3",545.672687858436,0.216799710555663,0.0739362392922447,2.93225233837939,0.00336513201465983,0.0263258626997197
"ABO",25.0925039594252,0.017681480165598,0.120548549259297,0.14667518003527,0.883388410155218,0.937644640256899
"ABR",486.907894724644,0.205776694220435,0.0682928945134174,3.01314940136278,0.00258551597339869,0.0222950082232402
"ABRAXAS1",55.556948672993,-0.0795283353181141,0.101550948429603,-0.783137297562954,0.433546490902951,0.626499666896197
"ABRAXAS2",297.782770360696,-0.0787796005374069,0.0556351751062641,-1.41600346160386,0.156774490961831,0.331222006440701
"ABT1",182.710592433627,-0.1926309196056,0.0621043375637535,-3.10173052579225,0.00192393007656765,0.0183106906486415
"ABTB1",220.693624309539,0.0352909954826758,0.0869437144937534,0.405906231268867,0.684811499376261,0.815797073670144
"ACAA1A",441.198208033842,-0.103121108891327,0.0825354022443017,-1.24941668771532,0.211512707934765,0.401265110284159
"ACAA2",575.708236497131,-0.147554280285017,0.0772613153423686,-1.90980802787474,0.0561579352855595,0.171801180498749
"ACACA",117.612078945057,0.133785653407038,0.140174217655339,0.95442411339859,0.339869005174046,0.541990516146099
"ACACB",421.378990077149,0.20803265289029,0.126156511937646,1.64900447622641,0.0991467176823345,0.249683755999065
"ACAD10",140.441573720873,0.0781142290347594,0.0929260687927051,0.840606194253334,0.400568587448261,0.598110556093071
"ACAD11",47.8582682254008,-0.0375695367805272,0.109190127997275,-0.344074482461132,0.730790272660141,0.846875865623927
