"","sex","weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Omg"
"MEbrown",0.129295060591989,0.373643610165978,0.627026628735194,0.354835395863226,0.278587899679862,0.507945157263432,0.44666705208632,0.106970160103226,0.686663238017092,0.348225328483468,0.612491345266388,0.139028566152243,0.0426519332610075,0.0195176387982734,0.768579003888991,0.285107818822067,0.0102898262148578
"MEmagenta",0.833555420394066,0.32347484294315,0.229724616873185,0.625424054517541,0.0488054082278386,0.00962261715826475,0.92868500226369,0.0761989177733502,0.615999238089307,0.0216854141767404,0.582000589884344,0.00650750930248469,0.000144440060531615,0.000228541157398514,0.150963948247401,0.0889633196459609,0.00183580271331553
"MEturquoise",0.882056964248919,0.148509510238548,0.0406052375560855,0.00421462719987137,0.00655898175774908,0.000414288369487042,0.312654363584519,0.340487723935007,0.377529109362594,0.00688466946113411,0.209772109127673,0.00439515406379487,0.00016672993603287,0.00011218898148064,0.00625933202079884,0.113311805758362,0.0271637599973911
"MEmidnightblue",0.738433643051765,0.351868955405746,0.0428015715194874,0.0932154971378689,3.98723863537139e-08,1.01187549239767e-06,0.996797290376087,0.0429505480022174,0.0392722658706766,0.000120515849753435,0.917187989770308,4.04705739532247e-06,1.02449131238021e-07,1.31299162160248e-26,0.00978277007220253,0.0262521718197694,9.78077316720107e-05
"MEsalmon",0.492272513987253,0.692088893911325,0.497558694148316,0.0400379281836718,0.000143503600109273,0.00439891964371039,0.983758409060754,0.412647000989104,0.0361309135983892,0.0746259600264415,0.65852149291847,0.00395219182855193,0.0414816736964096,8.86087700062742e-06,0.0670645700825705,0.457079410074392,0.199416265702158
"MEblue",0.437084221504226,0.445708507937536,0.0366177276472512,0.0477845786169901,5.17038335543473e-08,1.71618693333267e-08,0.897614444167669,0.0174167801459351,0.0141632482997108,8.90561763493683e-05,0.947224610760055,4.36134303398124e-06,5.89018524386327e-09,2.30890954963728e-23,0.0144397893034987,0.0243624371376082,6.42976339942542e-05
"MEpink",0.921331797415887,0.941097411028602,0.959091160233208,0.180678429174188,0.565563697285474,0.398672921789108,0.641138388717922,0.605934921018833,0.705762535231173,0.568962223817763,0.892505701740042,0.733583444357605,0.803190160045828,0.33439010314601,0.013849760816403,0.508464163628351,0.893886595904977
"MEblack",0.128218838821165,0.855647745006026,0.567996757467103,0.0548172191009769,0.411554014245151,0.0326990300463417,0.281089550906161,0.959883172643601,0.431215391758724,0.15067876702679,0.229844877644218,0.186220982740482,0.104728647594834,0.207762950561575,0.0462589684799326,0.417886947034712,0.575918172469605
"MEgreen",0.0889111016233239,0.684419927338186,0.989822229643764,0.0270702330826079,0.185364762425831,0.0577782534328656,0.249445537839033,0.726507796893506,0.187396962471854,0.283534651584711,0.385410299592182,0.209969753393349,0.442683843511075,0.192962299324183,0.0418796292155075,0.619979924715672,0.90650677647506
"MEgreenyellow",0.196125952774473,0.815541375988249,0.0979577004582544,0.961929751868084,0.168191334658825,0.00802164376685856,0.99338653639968,0.267662383221756,0.231173994764845,0.102961283536942,0.57705612803226,0.309318842222931,0.00466208522812525,0.0291193887419289,0.729502357566403,0.104880562214386,0.04827497077232
"MEpurple",0.0610479086812732,0.430308119132485,0.433936066543653,0.799414007455369,0.314120767163049,0.409177245380455,0.670404770252566,0.61328899775402,0.612359284305335,0.251554960440221,0.344174031749148,0.434863170385773,0.145725155201144,0.0274267734865972,0.0107990249530192,0.124895832767654,0.166142008927076
"MEyellow",0.371340827108149,0.582172400109308,0.745930288792948,0.729395204698704,0.00561300128469259,0.249107824312911,0.767950072077691,0.324637408951455,0.734236861048824,0.142144908613282,0.475880435058607,0.0256643424027515,0.127428007768554,0.00204340003433654,0.339285279001099,0.805741504887701,0.0901192344166171
"MEcyan",0.11385396915205,0.370744354382888,0.51269452902365,0.385423505629226,0.416810903266813,0.511965613801686,0.660664803097734,0.169127465293506,0.516625016119715,0.281548546416273,0.88767802855396,0.213998925040723,0.0263698903622224,0.0477379875550708,0.709917882239992,0.212304216646321,0.00452094980586483
"MEred",0.26674066894928,0.315081298867681,0.516626457928723,0.622818910697328,0.763662145479554,0.380477628751792,0.163165913315485,0.493305759744951,0.191678595082271,0.732178740765174,0.0434126048130513,0.922676241333486,0.915305807737485,0.361733264676545,0.265410513043551,0.395590213762183,0.802181376601017
"MEtan",0.604868117278231,0.276603390414971,0.139069762172411,0.867261486936123,0.304764819192579,0.820967001737998,0.57998187764743,0.416415175218274,0.711410089460961,0.39419940916005,0.336983540256095,0.0848825288992659,0.695610068983351,0.48721530544931,0.217784806615008,0.102530253199299,0.662820975533787
