"","MEbrown","MEmagenta","MEturquoise","MEmidnightblue","MEsalmon","MEblue","MEpink","MEblack","MEgreen","MEgreenyellow","MEpurple","MEyellow","MEcyan","MEred","MEtan"
"X1015_F_gi_lowfat",0.0180314903375951,-0.0249959029567987,-0.14949453701944,-0.158803680597393,-0.180521216760218,0.16036887554241,0.0731776946158016,0.0468150941084506,0.0942785830332242,0.109793678755536,0.00817711258246952,0.141507401266235,-0.0577024044510205,0.112886490433464,0.148767155390783
"X1001_F_gi_lowfat",-0.0410636553279816,-0.0527337417887799,-0.0986422902447597,-0.165348260510316,-0.173502707412733,0.176313645574055,0.0405575789692144,0.00903144708449954,0.0348407719816298,0.0242740677306453,0.0398077367668893,0.154170916748747,0.0163931690203747,0.0924035557550769,0.253772329311308
"X1060_F_gi_lowfat",-0.292226290895312,-0.374524850827988,-0.032331306992434,-0.1592696538031,0.0402764319929655,0.116043729112163,0.00910958602666453,0.13555548707011,-0.0640251716712152,-0.0852632344830169,0.18622152309821,0.150415139634867,0.276822752722999,0.105582341313835,0.0862984022865911
"X1023_F_gi_lowfat",-0.0841743109354979,-0.0590386037113272,-0.0262848698619812,-0.140466048286815,-0.101059908376824,0.0928377112906532,0.151407934175928,0.0141305031752965,0.00666786892792723,-0.0345422448605812,0.20811294320764,0.0656896903620037,0.0478263803366704,0.00847477506752922,0.0908944800640665
"X1040_F_gi_lowfat",0.0395047878913267,0.0473780416915082,-0.113727952598515,-0.16614177483755,-0.143991875651074,0.174468454472965,0.0266379326965284,-0.0257164477798815,0.0473103670273859,-0.0752736567034662,0.0302564618354583,0.124262575794728,-0.0251073674899281,-0.0578284758889425,-0.0812383572329871
"X1014_F_gi_lowfat",0.120622111408399,0.0405902888993268,-0.019092533441538,-0.0642630258087291,-0.0637728778620053,0.0858401163265451,0.0159711781103275,0.0933399809609751,0.120148077782421,-0.1311106491621,-0.0727340061396747,-0.056634725776229,-0.110917576679159,-0.211963181978908,-0.182054850667648
"X1041_F_gi_lowfat",0.105642048754187,-0.0507206832685355,-0.103579716857715,-0.115095804535636,-0.0862639677924336,0.183555321922296,-0.0904451739655132,0.117723042492269,0.133129990280461,-0.0900761266405295,-0.177365635426862,0.013429867748465,-0.0794035548708265,-0.155646046290018,-0.216967564243129
"X1083_F_gi_lowfat",-0.0125819528729282,0.0462683610694873,-0.119138661306467,-0.17265145909885,-0.183068603281261,0.168412474974297,0.00721480931425726,-0.0593222723884256,0.0372286739916363,-0.0049720074387234,-0.0152090296121318,0.0317185080680423,-0.0375509708694227,0.0265477603824592,0.171682889503922
"X1080_F_gi_lowfat",-0.039783634640677,-0.0715324338209086,-0.0456129582328074,-0.157176612332768,-0.0755639327540451,0.137671776410811,0.00847287917827948,0.041719189492595,0.0327875539906047,-0.116100545091676,0.0336747486183157,0.0197687242921137,0.0524995887006027,-0.076825545778463,-0.0983437326590845
"X1079_M_gi_lowfat",0.00203494304773055,-0.0713540006621327,-0.148201729205109,-0.118615995246466,0.022220516675588,0.126018845132172,-0.00558769421287645,0.0723295652052615,0.0324299436862678,-0.114954336096718,0.0216917852119929,-0.0122089710368179,0.059911219479362,-0.051473309282541,-0.128936612534924
"X1009_M_gi_lowfat",-0.539885388357599,-0.610485926864143,-0.197006647200243,-0.180991557947847,0.255362450630479,0.208804289315178,-0.172174806966078,0.123335047950365,-0.203774326670041,-0.105909105039844,0.241754148756521,0.218122913506545,0.584724112391594,0.153189437534354,0.175102373244697
"X102_M_gi_lowfat",-0.0936056990323121,-0.188490409192954,-0.209781750501135,-0.182499097850921,-0.15727628157044,0.175930892109231,0.00827601011318531,0.0677904154222214,0.0758368267263059,-0.0364413387814162,0.0156586378280966,0.1717853985701,0.0494764657000619,0.0860030631929059,0.190592675844621
"X1069_M_gi_lowfat",-0.0426925124089283,-0.0175483557611121,0.117441112231639,-0.131161427436133,-0.194187146370989,0.151092383382876,-0.0143464428652034,-0.0365132994735521,0.0263945830510044,-0.0621923991761023,-0.0338916018526127,0.0889382919228668,-0.00701416561099241,-0.211602844337003,-0.0701144090239486
"X1068_M_gi_lowfat",-0.205780101410231,-0.213688307227353,-0.0587908845086396,-0.143419085241116,0.00546719654944313,0.119927353435746,0.10449987163167,0.0273143388038519,-0.0461751521116857,-0.0620176682965534,0.271545389906982,0.0588475837867148,0.238712402726578,-0.162939418339275,-0.210547309026465
"X1067_M_gi_lowfat",0.163814309295695,0.172550827811259,-0.0302480854557947,-0.133405406408382,-0.147087415090949,0.138937402526944,0.0686012875706615,-0.0414381400046942,0.0979367636799619,-0.0609573709443858,0.0352512607829694,-0.0072406028413685,-0.149751892116673,-0.253633464388973,-0.279307486169632
"X5_M_gi_lowfat",-0.106099728233066,-0.151617011091362,-0.137942907843859,-0.162710320404156,-0.219888507074472,0.164670904535227,-0.0355393004032346,0.0442070686998795,0.0623098235340183,0.0102249373358689,-0.0475559693838356,0.0960486452805521,0.0734919429730267,0.0507579309644552,0.240347752381213
"X1054_M_gi_lowfat",-0.0373658954900152,-0.125463125112115,-0.176738461442425,-0.169168981496028,-0.0909458576762097,0.214182279839463,-0.0820592129047316,0.0597275946086037,0.0603377738703869,-0.0870942309276558,-0.0639076478871598,0.0477661035429244,0.0668070218218929,0.0872031259960431,0.0612030406675286
"X1045_M_gi_lowfat",-0.0724553250119196,-0.00955931417265442,-0.122234402045739,-0.149109577456554,-0.161161424565406,0.0734716967092314,0.188518151448366,-0.0230449122648639,0.0169115891780865,0.014244308062093,0.221620469469803,0.195674391123722,0.025291887099393,0.18537227820375,0.214946886516482
"X1065_M_gi_lowfat",-0.0336511905149982,0.0272076802290475,-0.0493956997579108,-0.146081715671842,-0.178961713784356,0.121670876008435,0.0838369587134703,-0.0497021099939742,0.0287756607527994,0.0208191891788259,0.0770468229305624,0.145711871933763,-0.0237725990586949,0.0759136098053516,0.224778713761604
"X1064_M_gi_lowfat",-0.00735190895288035,-0.0410494906747582,-0.0749052550886109,-0.158076489761275,-0.166517770464919,0.153524950776075,0.108682506271733,0.0254076817730283,0.0703141058960791,-0.200611332822809,0.118931770723712,-0.160132997126958,-0.00748270549213994,-0.270280577545913,-0.233594655631728
"X66_F_gi_standard",0.151716407873517,0.11399535905216,0.162516350915614,0.155904026817663,0.0944771418559824,-0.161606156528478,-0.0487866992003175,0.0665780609320377,0.0860834510321944,-0.0569737443151378,-0.22193135680894,-0.227338311008332,-0.140157886410001,-0.259863736005487,-0.101258476912031
"X67_F_gi_standard",0.290663819117849,0.171932657449567,0.017634818290285,0.230867060787041,0.136305844818248,-0.130852496054828,-0.0230594434352492,0.117539679512926,0.133717688367454,-0.157309008895951,-0.231188477484003,-0.347856898579327,-0.222866678724508,-0.249236018816668,-0.209820218887795
"X57_F_gi_standard",0.14197696651015,0.0269810520801454,-0.0902113714162075,0.142749185263848,0.121715578170354,-0.152958142872872,-0.00224165080177438,0.142248031304923,0.110865688123591,0.0121963382872413,-0.141342859736383,-0.134508610088236,-0.084268085518582,0.277524049314994,-0.110978643486591
