"","sex","weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Omg"
"MEgreenyellow",0.725650260051751,0.996163395141679,0.121107750943601,0.284495804799687,0.129407559922206,0.144902203762647,0.965216702216588,0.268014367920188,0.405074751935703,0.184812322528773,0.731797455037398,0.954958081477616,0.577114026066322,0.297631735939197,0.930589569590124,0.918362298704308,0.308556633952545
"MEbrown",0.0660408681090655,0.91233059707427,0.0903935584495166,0.696726237954534,0.0334151699854134,0.0133457677419385,0.69059217740334,0.700080397360381,0.0200279476818718,0.642408325069819,0.522629748255608,0.659101076924456,0.250834687387848,0.0664907096428867,0.630106417324503,0.541996035213702,0.202501341739206
"MEturquoise",0.000230218804474275,0.958090796037081,0.614313108146806,0.543094747328213,0.301454027096435,0.429813727121129,0.777686158744884,0.835520755319906,0.723553957945754,0.568824263982883,0.682022120082684,0.116306945176942,0.154879704775624,0.363906600428158,0.153672918764467,0.0228614118317787,0.720327163179549
"MEcyan",0.101607245866154,0.970227543550931,0.604255966999741,0.0372549700086595,0.784504369593772,0.714932855135562,0.941759137698096,0.143783401716264,0.76904402812054,0.294462472907856,0.582156301195173,0.914759883402748,0.861795533243011,0.776086906933156,0.981877893464552,0.430881214710998,0.737461502352899
"MEgreen",0.302621124893178,0.912336173163031,0.0330626189533235,0.238668601777568,0.0512662680999183,0.0260474110005858,0.850842906166671,0.631023971426894,0.147817317000318,0.149358242548465,0.762901193217746,0.696713849714432,0.150402644659033,0.0999360845106181,0.316270112652432,0.524358231447158,0.171030091983572
"MEpink",0.00778422471589885,0.959150395490681,0.0184844496028749,0.787075589706093,0.00224477358994117,0.000204696163919834,0.231455964909346,0.0939251392803302,0.0250964932915033,0.647281513948543,0.70147653280589,0.0392241807694161,0.00103375505656946,0.00460405987530264,0.0264732488439765,0.0920733427124102,0.104354097330603
"MEpurple",0.455392558753587,0.918669060518531,0.0302825292443783,0.231809153925334,0.000991032006782793,0.00149008122127763,0.673586201257842,0.25335914810039,0.0187185564813055,0.420745465033489,0.581867910508446,0.112311178603122,0.0558565974883678,0.00666530009270775,0.11781452517113,0.522998408820445,0.0672704666175997
"MEred",0.106022656778477,0.594675378508911,0.82035773711633,0.10049083239818,0.000989442040080137,0.156414732411568,0.443762719623723,0.984975778485149,0.607843999749986,0.101719415090262,0.963599325280284,0.00122532705417084,0.32946544458493,0.00306503701153692,0.107106315630265,0.0760408867215606,0.240527179575455
"MEblue",0.0696186575554458,0.888150459649119,0.790360264825891,0.0545124995893287,0.322376063056354,0.254004978641382,0.760116545437968,0.139967189813135,0.175726140416397,0.37688755104183,0.304436685003289,0.483891404049212,0.512298110171565,0.373128540383668,0.679669136291931,0.623052114013884,0.783027234620951
"MEyellow",0.0411608630596416,0.968282654979395,0.732739477624738,0.721329382525122,0.193225970503291,0.426331776828681,0.666147144156044,0.239936733600407,0.103907981861657,0.945032842933563,0.147484196413486,0.268277801443607,0.876961113757248,0.241973976457727,0.820461823576427,0.946507623937998,0.939651640055258
"MEmagenta",0.00717802357199657,0.404972094706258,0.180184853214756,0.112279106947231,0.925371050755448,0.607527495484224,0.320443833583883,0.130037290480627,0.440644602243341,0.172281262051338,0.000326456534585308,0.515703021075015,0.331006863749288,0.868906750460297,0.419371778407973,0.0397393248624356,0.0216251054036591
"MEsalmon",0.0665312207753503,0.250478455181087,0.0771646974064473,0.203055673611332,0.37881310197681,0.0124196667999603,0.523694481293149,0.522308720736985,0.686859259361147,0.587896434972784,0.876517052508549,0.530257056371861,0.018116228041104,0.0713821231492181,0.671098552171365,0.446878915063372,0.220584970871244
"MEtan",0.658958610309755,0.819457966494371,0.980895890402974,0.643250142085242,0.482626819319221,0.884166173014494,0.584174552584665,0.921279298118641,0.916177985735231,0.651364922498502,0.818175531030606,0.717378965907635,0.78280917953192,0.759467667867655,0.403387922939095,0.0161794676954395,0.55254914510206
"MEblack",0.000904701775237707,0.948085993781785,0.609390681329064,0.423611111663387,0.748726668753333,0.964316306640445,0.80230986790582,0.825597031668602,0.416892295886939,0.516113158982247,0.503160053500221,0.613739315124691,0.556214059068539,0.95962967750764,0.313542371298709,0.0332909504701849,0.840022715682764
"MEmidnightblue",0.00208751048105107,0.913822871880408,0.108707735629573,0.790822024617033,0.00381077628427459,0.00792805932726651,0.744169303516268,0.48156918093328,0.214081073669516,0.420271874333156,0.931040602890742,0.0115650348567686,0.00783064829615882,0.00777403938542201,0.0334271326193488,0.0174430994529497,0.134909626230269
