"","sex","weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Omg"
"MEbrown",0.0186785680545208,0.26924654955018,0.296151596915577,0.372776092561183,0.0532680990544252,0.808559654574341,0.956049094987948,0.5301342519893,0.623127776911204,0.260053102467004,0.133576544761042,0.289069959519482,0.323099647215598,0.592835404986988,0.606997287659901,0.853248402675758,0.583487595032328
"MEgreen",0.0208174383467313,0.00662049179608198,0.843233090985348,0.00281862224623468,0.512503729889914,0.153945500813864,0.242139716340125,0.866974750140061,0.700478406930005,0.874916262913592,0.3611059272344,0.454127563238551,0.561669763065603,0.766259814919179,0.857916259433521,0.0227908037533922,0.15065167656017
"MEsalmon",0.000695756826859724,0.00677362603037512,0.733054225326129,0.0128798261260008,0.064441934356438,0.0104107530991867,0.728456452891048,0.228864612543352,0.551487751577343,0.267528401675642,0.484318485212412,0.00662494232779695,0.338910715255545,0.07651869995911,0.0572291173115825,0.861998334643446,0.238882747031538
"MEred",0.246120933609087,0.477609980258791,0.00551938852219578,0.21780375949725,1.39122351343195e-06,0.00108278116634622,0.395256103086628,0.292701090510112,0.477920259147331,0.0904729207836316,0.760656128529088,5.4679925832657e-05,0.00550274002800535,0.0551034547102074,0.0521987182553594,0.898057812772471,0.702834835336392
"MElightcyan",0.000874036095136376,0.468050203847362,0.170925055217296,0.759113937506626,0.00490485838021872,0.00530497722903663,0.154493413384646,0.0676285811501362,0.0394827583907548,0.905345953494702,0.437587234158266,0.00267036445556604,0.0126705493408963,0.00149943561663499,0.0950205089337095,0.0495946148096539,0.120814119118876
"MEtan",0.286162056860356,0.158081926093486,0.303895071846566,0.0350179794917681,0.0044308492554861,0.000821724096724727,0.577752761536585,0.156616299743185,0.0701921626755178,0.790784107072215,0.4272392229436,0.00195180479393664,0.0139040448093225,0.00458821344122669,0.190185648112928,0.906286743874691,0.732887047585826
"MEyellow",0.978041247200781,0.781650129588914,0.0574653742735056,0.53548735423926,0.000190083165129067,4.44406158107396e-06,0.33266775665487,0.538356866918394,5.8202106318884e-06,0.692984768443568,0.0917740160363491,0.0306242695505606,0.00938491725162248,4.39898400041037e-05,0.540334462711624,0.41549424429387,0.142374117441584
"MEpurple",0.00468055818513838,0.811798935694137,0.0415074636986848,0.429567195886017,0.00405885136081582,0.302716628702469,0.25121577044591,0.115525925276004,0.820982484121295,0.228301211467702,0.148274905688234,0.00743688239280945,0.042875165106337,0.0473406617788194,0.124350992386228,0.310189968253917,0.200795284913488
"MEpink",0.0122135143104733,0.494765358222879,0.816527825175656,0.919457247076489,0.0829898482888189,0.0104135531779953,0.607940463499079,0.583177215346593,0.145961357215399,0.701018683142907,0.13423715891261,0.0437328479592498,0.0698403910853901,0.0183468682556711,0.246020874100406,0.225733127261918,0.662122427474217
"MEmidnightblue",6.48517407181811e-05,0.514117984641067,0.159291259221736,0.385784049250343,0.0112852670044054,0.0247185569661055,0.0950232599464121,0.115807236672212,0.0705969300718524,0.977274224644005,0.669337028815214,0.0188854219455416,0.0240506490165778,0.00702513575160315,0.186546315342591,0.0502324279556622,0.108018221450366
"MEturquoise",0.0171033530531298,0.188703683438124,0.0772698446731389,0.125810344565552,0.00191869227390796,0.0039787256092472,0.292633522848885,0.119325523505249,0.064337209885769,0.869588178850727,0.468458791126234,0.00590364382575596,0.0113845814068741,0.0269544748864228,0.174166861482406,0.914186728159424,0.852115411853805
"MEmagenta",0.0585106597353811,0.721469859349295,0.0112232500565062,0.3299227059074,0.000151848641258306,0.00933602038893047,0.292468629552134,0.0982440820441758,0.78237903876633,0.0235404466379716,0.260368268565812,0.000496476234350506,0.025176929709606,0.356568854184695,0.242061137847747,0.627529858577248,0.846941512660552
"MEcyan",0.316294507565866,0.81681354453467,0.822485136946524,0.56933624450496,0.895091131308417,0.621181883541296,0.635555687905826,0.629963090307619,0.303916059647474,0.849824252647694,0.306950243958919,0.770171670527147,0.697623864990886,0.52561970873686,0.603446257239675,0.344384135067482,0.928365755233121
"MEgreenyellow",0.109524532627374,0.130305840864041,0.228128497765232,0.929486455501157,0.875421936141652,0.39753723521394,0.340512473907195,0.112359391304731,0.914664505204116,0.980109112422505,0.841938020136926,0.613433737631853,0.293447202612138,0.370901433699073,0.158269933009335,0.00843713780135063,0.144692903019621
"MEblack",0.238624527930463,0.00445982150286195,0.633737372799836,0.00022918747222857,0.0986919754336401,0.0567945566107432,0.464289970428394,0.95637551200212,0.707552591712235,0.538921128973284,0.863201316184578,0.163982840078372,0.23849010523161,0.315974027276954,0.872007196003144,0.0658957565697852,0.348107540316154
"MEblue",0.165891946906687,0.0262040868752068,0.930029880295335,0.0185098676541981,0.748616379895666,0.708485428753103,0.3523972094169,0.89462111908721,0.837120166141372,0.939099805846781,0.685362665998948,0.964594733502832,0.715599246522944,0.716119441279645,0.378359198167818,0.0108373032717834,0.448992145997411
