"","sex","weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Omg"
"MEpink",0.50344903786287,0.0885747706892894,0.190893213378297,0.292956707752283,0.474922114316478,0.802601978567374,0.128591735120749,0.00873409363441954,0.316210939441862,0.181353403657396,0.035604624323009,0.954491869558345,0.084188885582958,0.717688028716109,0.730350341384757,0.533019225264209,0.823506565890126
"MEyellow",0.561241039120983,0.463894041646131,0.00950039241713851,0.0171830756820016,1.13466081313815e-05,0.00532508991343271,0.4994020182065,0.864417080224362,0.506835880852,0.138419528009883,0.217442418589635,0.00323567555478636,0.0145929956488284,0.0275764880096881,0.478995471939829,0.640193886107525,0.339617817002062
"MEbrown",0.242036865486804,0.574561840263592,0.909104960254698,0.184852025677384,0.991292564066957,0.333596112924073,0.328262787781894,0.272340490006994,0.603993004888956,0.529883040462197,0.726009248168918,0.947386129193436,0.0788606948022252,0.979281571092624,0.131517592763646,0.427211620757257,0.85576693707392
"MEblue",0.0112960316485851,0.919884498106766,0.0283866016053281,0.862618792539959,0.00320921808890377,0.0570687935180261,0.258507354301726,0.517470114294461,0.861467909416172,0.270837990486859,0.226059050744776,0.031318764613649,0.0144917246527451,0.0327396270275022,0.637544567554784,0.82809400705441,0.127924753749093
"MEred",0.0084149585005086,0.762363640562686,0.039723517870404,0.816427863292947,0.00756697859213683,0.110340307198878,0.234765568345559,0.419642582317009,0.750937645006748,0.289526223185674,0.0960387012009266,0.104519908359894,0.01706862588238,0.0600759490684882,0.475523914921201,0.981234960282634,0.0911845092017643
"MEmagenta",0.957407607974362,0.963348646598488,0.282085655457241,0.11969384476552,0.663428409430762,0.209545114432146,0.521852036857654,0.324163091936329,0.121161334098724,0.276504653656593,0.607920542480555,0.342492564126135,0.396306276856249,0.301825190302098,0.184223324798732,0.178888751418506,0.440456059538916
"MEblack",0.529111167674029,0.73941477838378,0.411222097380701,0.807470664091757,0.728305323242861,0.124752068325541,0.232701880575722,0.802558851951293,0.829078439894443,0.102697233493914,0.331202921913799,0.187828856009969,0.168696377455121,0.19259569154277,0.469390104268091,0.855514212091922,0.213009796607775
"MEturquoise",0.863674722526027,0.758566624476172,0.437979932863313,0.442656353603954,0.854967382746324,0.0905734831512079,0.138406382297982,0.411764230625263,0.261213929783494,0.38452000396737,0.0728517448565256,0.695977979315155,0.209465660707424,0.0383146897955469,0.835963159974599,0.475846577766827,0.140304461088779
"MEtan",0.035611038744186,0.909056684095645,0.322857529317062,0.169318283224637,0.822466729066481,0.84908574641462,0.0849763162619104,0.783208524420584,0.157836126936457,0.703986905273843,0.313723688590301,0.69176043066456,0.810357499084162,0.844015295112422,0.163963193115428,0.755943196773192,0.386288234478903
"MEgreen",0.360216311844389,0.778503522947155,0.219809487818017,0.469563084603981,0.0801468032111041,0.910244352780595,0.938451470505848,0.684095050995008,0.273948436253635,0.398374285049734,0.0624814971836215,0.133669647028637,0.443867716403958,0.357819136377628,0.678125822828501,0.701043618333299,0.656875095232662
"MEsalmon",0.00284622816296472,0.854707644848767,0.0222161011839104,0.627994591322625,0.00548654769639718,0.118363475106064,0.147860452757572,0.183498452502204,0.730619258445853,0.392985987436381,0.116386691574462,0.140669493572763,0.0262061244005327,0.0287660876538345,0.839019037460211,0.521642297595685,0.0641133370334697
"MEgreenyellow",0.186209026233388,0.48694706330149,0.813855486290564,0.201935051023704,0.11859897937831,0.221534044988404,0.158245627958326,0.119983988432048,0.155186678684396,0.108302236913851,0.846138919864393,0.0283581899873102,0.227032286120602,0.214915897421505,0.125080050077808,0.250280216819936,0.646856109637756
"MEcyan",0.27533649913494,0.423251878664248,0.443103591806937,0.109111740723165,0.470341878506672,0.0968882413662908,0.278560784267762,0.309918912539831,0.295994918582761,0.606436415918482,0.254906713912867,0.262388340458826,0.241883531796466,0.144317561179567,0.225451109755916,0.112027222442535,0.333079613652225
"MEpurple",0.409267454504746,0.00423958736611223,0.420980217572304,0.95133449033875,0.750255216035046,0.369821996007031,0.626159442863479,0.0399608154650877,0.95337503517106,0.208411828223217,0.00160762288330522,0.328685477774854,0.81208881166854,0.474096514731761,0.0131284275718567,0.024073309328401,0.694200907910309
