"","sex","weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Omg"
"MEturquoise",0.12495591484198,0.0710868529828708,0.0085081080807584,0.528190034263859,0.00168112822153367,0.0553575025540722,0.838456611350375,0.70924723366586,0.0226222640101827,0.412515910873327,0.894982702509644,0.458082705592435,0.0397729243694163,0.158164937088384,0.0524444571602414,0.417330620748434,0.203884426210828
"MEyellow",0.24693357589671,0.786714569976222,0.00439333657097949,0.00376087113305968,5.99997290391783e-08,0.00419079014911112,0.343615379563542,0.328778515070301,0.618651318842902,0.0227324426574475,0.350257837932297,2.46555619794658e-05,0.000208945890396279,0.000149464679171037,0.00429122838192851,0.113860003276369,0.0119971529950728
"MEred",0.321097376460411,0.540777272734679,0.607809091039945,0.407873022536822,0.023566829344152,0.467617747402618,0.746962249217594,0.787805265757606,0.586061809730648,0.585174550763896,0.2793339416683,0.0153331946520233,0.304685625113992,0.0112328223035568,0.014567006905562,0.00362116868552345,0.17677726987357
"MEblue",0.00969618211379407,0.680170914631012,0.151192677700303,0.793115264100378,0.00898331799482361,0.000858849443113385,0.345451226106276,0.2501852027626,0.121518972401288,0.444342495901826,0.390108533607469,0.00817110728766819,0.00453238538869714,0.00103059812142146,0.000155094026563563,0.000313042460031054,0.301780148464449
"MEgrey60",0.251766156168029,0.35532948542998,0.702104207023307,0.291182308410761,0.132229391369731,0.0359327756842553,0.546488656108223,0.31896733697612,0.39500656616754,0.278348181551679,0.751817518145112,0.00925048073394739,0.0166550178883897,0.00108778979782218,0.00452746033693605,0.018910828266601,0.422521436600046
"MEbrown",0.633183408674575,0.610206340723728,0.239772664413123,0.706041081762217,0.569704119032875,0.825402586216813,0.0745030566735635,0.713838392027932,0.680586715285334,0.244766632320337,0.137336314256112,0.582258743167915,0.325388861002716,0.0146796781543814,0.197566337693758,0.0167022447194662,0.0808669756831898
"MElightcyan",0.00827204590057553,0.468555364574949,0.391480385585041,0.867771524239195,0.0271226043912342,0.00789000210591609,0.509156411107145,0.336760366172939,0.290280690830176,0.719123958613533,0.382131870071703,0.0101534655308585,0.0194587576016241,0.00391432982798536,0.000305474764599101,0.000491236946368657,0.380957521623625
"MEtan",0.00398867492267769,0.961830515630969,0.719111263156247,0.52129875582525,0.629357950142931,0.347809424082491,0.782504458411237,0.496425666114446,0.183736059297292,0.908954360274312,0.185276473323813,0.113230036471594,0.352399946344629,0.164246135698405,0.106922507337788,0.0229427000457718,0.213763701478496
"MEcyan",0.259090404998901,0.811246964547153,0.078696878408267,0.472770897976515,0.194769276123984,0.76538692661406,0.409747418148363,0.134290509965822,0.00607415556974903,0.00561924930213675,0.000320080669034856,0.117887056991289,0.294577444472981,0.759484615358744,0.664714205861081,0.845061007050616,0.290621203616971
"MEmidnightblue",0.919493011709215,0.624453294786244,0.682393572327018,0.964294510381633,0.558555224453336,0.766646734325353,0.184350281151938,0.0228447889439766,0.931035948019802,0.312967724294947,0.260686628569299,0.634174586450127,0.552698985743232,0.947612487218315,0.837709971841931,0.980344076282447,0.322557302052863
"MEsalmon",0.700938096727676,0.239447581124361,0.0951491934850083,0.566273785640931,0.200508411363598,0.216605723163925,0.873726331933318,0.952740668066489,0.368464270966739,0.682124557154771,0.964830552135431,0.736067858148762,0.612641175252392,0.864299854090757,0.907388861608375,0.782644712038021,0.593652647897716
"MEblack",0.854916480166558,0.54278469663816,0.8442852489664,0.956186668920362,0.292922232922229,0.0440685400246045,0.979392016078098,0.957547448438762,0.0440887428411201,0.56795002305512,0.0119236953050757,0.448426662159429,0.481775848253818,0.794021976271717,0.773148752864116,0.371631574793034,0.608520440272963
"MEmagenta",0.231253968061552,0.576378717269327,0.66688465049013,0.707341099309469,0.170604648541502,0.0116012617710244,0.837994864154365,0.339246058499268,0.0858789387112604,0.8900314383778,0.0973419544856776,0.119056113201756,0.0887682599740669,0.0884708440286168,0.0139306144748909,0.134891889502016,0.707016202031262
"MEpink",0.213214372495127,0.0840758932302345,0.977877352576074,0.627118941917582,0.685667147249025,0.158142183353295,0.791429596049645,0.493580490617661,0.264407446525169,0.944657259033759,0.75767367726376,0.350019013169573,0.1352173574818,0.0791264588131234,0.961115204234838,0.885798945563397,0.291413057761014
"MEpurple",0.274547906054853,0.24323447031319,0.464613819201633,0.254331754360544,0.0447517085042325,0.227099046520041,0.444982130215523,0.342580465395801,0.118034118442989,0.841737779856111,0.432584307085251,0.277630094035162,0.681954580819853,0.782585003401668,0.128564298971911,0.245221795071335,0.264499837171363
"MEgreen",0.25062740799148,0.249456041936564,0.332808927799401,0.765721001186252,0.834417729552742,0.839926429525684,0.253563288965855,0.494738519034549,0.408286871523369,0.0613686838946409,0.608045479577107,0.0121985673251604,0.517478788890083,0.854033320263812,0.569503710292819,0.431283957977759,0.670851674240764
"MEgreenyellow",0.361272336002684,0.715719284494491,0.190032229710034,0.068108768620691,0.570423199810222,0.581230082910912,0.713898035774792,0.913985475142568,0.00605995347177366,0.536002323379842,0.00615431584497019,0.557166864356751,0.992327781036282,0.901921338536353,0.335750100592837,0.483778226906979,0.0406403207359034
