"","MEturquoise","MEyellow","MEred","MEblue","MEgrey60","MEbrown","MElightcyan","MEtan","MEcyan","MEmidnightblue","MEsalmon","MEblack","MEmagenta","MEpink","MEpurple","MEgreen","MEgreenyellow"
"X1015_F_lu_lowfat",0.0101589645571906,-0.154863679845378,-0.123892159124001,0.0569795879843214,-0.132326243605036,0.138302030139917,-0.0585819139449916,-0.000817672137997014,0.174507605152251,-0.101386117501871,-0.192437066871791,-0.058024727390398,-0.0629632268859178,-0.0360533977474863,0.138182326482886,-0.101001362781196,0.44142317078295
"X1001_F_lu_lowfat",0.0243605183656631,0.00279237999903905,0.0659228813817131,0.0935162869209636,-0.167385215640298,0.0118571887593962,-0.0783711043599262,-0.0465533957914889,-0.182009455423406,-0.0783301278897354,-0.299059315691702,-0.0889759360555484,-0.125148920958201,0.0375006815690944,0.115588986066651,0.787540775737561,0.13278199886899
"X1060_F_lu_lowfat",0.00508636183735004,-0.150962902434757,0.0426750260409571,0.0631274992612452,0.0216653632805002,-0.0781623888416513,-0.0556776847547033,-0.0890993502763205,0.0492943737848504,0.0654496252035371,-0.0127359851965241,0.0223317307284943,-0.0469214587025061,-0.0838368030454523,-0.0419070462048197,-0.119143046832109,0.0591308787567062
"X1023_F_lu_lowfat",-0.0124903065274103,0.0514398938722453,-0.207419203574673,0.0763393665527949,0.023130020245889,0.222360709305598,-0.0894010226208101,-0.0210774896397328,-0.192511804211929,-0.215362609800077,0.000572485958560065,-0.0876538326446451,-0.117861050798652,-0.0506572069006019,0.183331223775005,-0.0858792738141225,-0.198834927687103
"X1040_F_lu_lowfat",-0.0498913096058279,-0.0915261909885682,0.0166788966199337,0.0972458496074385,0.153465466836206,0.0682272079133701,-0.147754219840372,-0.115007220938842,0.00386301515785518,0.313050234883285,0.237162702166051,0.0340524264358898,-0.0659536017647068,-0.0755193730772418,-0.0854571122892456,-0.110213900574835,-0.216561325225432
"X1014_F_lu_lowfat",-0.136267016581401,7.73653225321635e-05,0.173079138379228,0.0402441015102917,0.21410081736986,-0.0817405526592276,-0.117349571345712,-0.637751949507343,-0.200196876776911,0.00779677361055434,0.38016612734575,0.210232000243546,0.0386672975435009,-0.0160557731692501,-0.0833453178315112,0.0037786883830256,-0.112649212371459
"X1041_F_lu_lowfat",0.0134132341214143,0.223891453086721,0.160663684253624,0.116242657906122,-0.0116241130153511,-0.101822013231327,-0.0718502020808363,-0.0884958883049574,-0.260090509026673,-0.156968489528701,-0.148600405981689,-0.00437542213430721,-0.0160810234786226,-0.0689706633661594,-0.103497965307199,-0.11259284543333,0.0667103832760799
"X1079_M_lu_lowfat",-0.0955188189346522,-0.226084605890676,0.285062981049416,-0.0271770603736524,0.157406564879934,0.0773720958098625,-0.0466034111205953,0.0725081325238526,0.0891533145147087,-0.0204561777804885,0.380351938055756,0.125834006216822,-0.0822816313133523,-0.0541707172243445,-0.112294797754183,-0.0135945369151338,0.258484979310782
"X1009_M_lu_lowfat",-0.0199539307502895,-0.0529455330713771,-0.190476282896002,-0.101288610339902,-0.0495189985795418,0.086027431115817,0.0908166767040374,0.211419096044033,-0.181779629917961,-0.0588519588071994,-0.0418693887807716,-0.0044443018744306,0.0538190833177095,-0.0509777400624965,-0.0803918249646136,-0.0935847058127059,-0.128099404803972
"X102_M_lu_lowfat",-0.129963034618324,-0.207323219961077,-0.213704106455218,-0.461475221806938,-0.142133361989676,-0.118783068469005,0.354283523644546,0.0365767274332366,-0.0363319780541955,-0.0875501623980864,0.166589102543931,0.348633218928229,0.562182296642893,-0.06970395011755,0.107953933432467,-0.0777189453634598,0.270327664242869
"X1068_M_lu_lowfat",-0.0566852505985676,-0.242736624511363,-0.266255608625107,-0.384052593258448,-0.159871230763761,0.287748675334031,0.319106982682587,0.205127632455207,0.351190792351054,0.585971256931656,0.252612119050191,0.140876072364491,0.276422387463221,-0.0416966931690264,-0.182045107524826,-0.0818468255957788,-0.0807696892838714
"X1067_M_lu_lowfat",-0.0306873599563028,-0.252708872653443,-0.312064182933717,-0.427306294222275,-0.556888996058359,0.334076355298589,0.556341997800389,0.506650649259573,0.116256204527039,-0.192272085079172,-0.286021052667781,-0.765358399842995,-0.0908966065624199,0.0429247436469682,-0.186479441978209,-0.0633820412867659,0.0435459678057192
"X1052_M_lu_lowfat",-0.0130690100696565,-0.099343366570186,-0.0907627723492221,0.141876591812506,0.0734750820828926,0.202909209564051,-0.145238547412304,0.14158719121682,-0.47758122328008,-0.168049689374267,0.0171739643285353,-0.229443189348128,-0.270569693140909,-0.0500440446009316,-0.0804602097897438,-0.0803302505698322,-0.367981279217921
"X1050_M_lu_lowfat",0.0115135763896119,-0.166491658076101,-0.0861416001707181,0.0455353653033413,-0.066865402576416,0.260421739915451,-0.0512633069062574,0.0858308962658225,0.145165196409986,0.168507810309014,-0.108796908147162,-0.120259040110131,-0.208774055686365,0.0217696779449087,0.0387487206534579,-0.0690014279796571,0.0337730108435848
"X5_M_lu_lowfat",-0.0592231744758677,-0.18869216720052,-0.11108756026171,-0.246724449699047,-0.123141768853293,-0.0471778229992911,0.205776437749942,0.167431315209952,0.0941131128629973,-0.0885216972469406,0.0375177282954856,0.263094376283564,0.365262258879032,0.399178714188936,-0.0595883571394479,0.26714763218442,0.084681841875216
"X1054_M_lu_lowfat",-0.101239638130955,-0.101064112381569,-0.0889824096341908,-0.231078283422608,-0.17373298267517,-0.0374268545528258,0.183321386269976,0.12128454480469,0.0255322537455645,-0.0193843848897155,0.0197845321676236,0.0458577993863651,0.19186301853815,-0.0435622880361203,0.19875104766278,0.0651186392796905,0.1370481633769
"X1045_M_lu_lowfat",-0.0618092063891341,-0.153509054910058,0.0382656844660133,-0.207777175910024,-0.309537527059271,-0.210865584132771,0.296374787391243,0.129085647262927,0.203762430299981,0.216378138404016,-0.248602134544413,-0.0129213026013615,0.173635304793224,0.833903540215174,0.420301240125578,0.00951344541559459,-0.10099598082289
"X1064_M_lu_lowfat",-0.0168305508149493,0.0568656702100721,-0.338237613974006,-0.204100766722882,-0.30403809072139,0.191065811318311,0.253620009982935,0.0303622299144033,0.119226217481826,-0.135992799937448,-0.242297969825563,0.0454009935405466,0.287225955772268,0.192732516737205,-0.330216376519556,-0.0295560458788689,-0.38583145586279
"X57_F_lu_standard",-0.0130151391086767,-0.211037108312976,-0.119011520398124,0.138839012732099,0.116613019986598,-0.127538663491033,-0.0853252127046249,0.130792396057567,-0.172174470796339,0.235509665398879,-0.0395895233168066,-0.0643425685249597,-0.143801939725251,-0.0951847468814586,-0.0513886410835729,0.0649274029164419,-0.17587297299493
"X6_F_lu_standard",-0.0236932543213048,-0.137236994583131,0.165204427433361,0.105174883327766,-0.035801927106937,-0.214358647566148,-0.1106640524512,-0.0932982613164412,0.0899117036661374,-0.141793520740809,-0.145082073696824,0.0907234058101202,0.17704626836024,-0.00192150098491935,-0.0232998990646872,0.330570850336166,0.344776051200033
"X51_F_lu_standard",0.0291276421798034,0.335877208513926,-0.188013424024387,0.0712695957746627,0.0176784467900646,0.332759974139541,-0.110839518748541,-0.0822293425661196,0.331047939704624,0.183635200409618,-0.0163420562694959,-0.0589647658918867,-0.119824095219855,-0.0129359443044642,0.429892527283345,0.0696405458618373,0.0641964574251589
"X97_F_lu_standard",0.00294956020202311,0.305823454189011,0.333876355206738,0.0930969159891962,0.114088875141799,-0.0356561714083739,-0.139705408095306,-0.143988632328522,0.0351747506192779,-0.114145654855031,0.0809909831465528,0.0543013793874158,-0.0408857849857412,-0.0654629654834116,0.361887803398787,-0.065555937722962,0.0270701828761593
"X1006_F_lu_standard",-0.0440794889274856,0.158165127718642,-0.0321622170459953,0.146572585164613,0.205390504022713,-0.234679003782132,-0.105874258984228,-0.0870734667207202,-0.206618224062822,0.0969793537922875,0.0855130941709437,0.0473425320803476,0.000272154392904622,-0.0952370939447857,-0.247860575083209,-0.0752454480016029,-0.0422823716998387
"X2_F_lu_standard",0.959256406813114,0.249567390555905,0.212603250993217,0.146798764959636,0.0572285446886457,-0.141644245184211,-0.0973399169432823,-0.0943743504108281,-0.0377942094710349,-0.0430717786856935,-0.125506258646168,-0.00374445802508132,-0.077855593959574,-0.0603130040128485,-0.0422254329219544,-0.00924667228770793,0.0709267382377252
"X10_M_lu_standard",-0.0116396958605381,0.176068373007781,0.122928294863481,0.0871338559025733,0.0403874228548077,0.126523527484991,-0.0775016681191502,0.0532842817538813,-0.0137019271523997,-0.118401921328932,-0.0536622598975322,-0.057695855758893,-0.113591267845956,-0.0548243741770695,0.00833657967358096,-0.0899631504600194,-0.0712001443217509
"X52_M_lu_standard",-0.0402008698523173,0.0999305632292595,-0.011747270724795,0.13728591474551,0.162664846746738,-0.30136820977068,-0.0918032706021608,-0.133872780676915,-0.0257084308813951,0.201773780631104,-0.0296470176227889,0.0608665215613505,-0.0165717131019467,-0.0396408442798503,-0.118136347223502,-0.07404315587534,-0.0027117562021587
"X34_M_lu_standard",-0.0251781114369607,0.207838304693539,0.211948780166381,0.0824353306289789,0.167380459069143,-0.195427794499534,-0.0923763582158414,-0.0342824530494809,0.0884625470093206,-0.157843627130309,0.0830414044705119,0.0715533160659595,-0.0183584158239175,-0.0403899677166597,-0.0453300280927586,0.0464491495185897,0.00148615904970593
"X1046_M_lu_standard",-0.0350298160231143,0.179018422083487,0.031907593732678,0.114310528577969,0.234346386245412,-0.253936123179202,-0.0856702423755173,-0.0647193638953505,0.246179742912732,0.194636794438917,0.206263354840173,0.0435034709328415,-0.0375010409533935,-0.0326918302226472,-0.121643612823821,-0.0747560528667802,-0.0542780282335728
"X1100_M_lu_standard",-0.0268312824917494,0.268707885997247,0.0730942939997037,0.065016594129431,0.0662519700420833,-0.0354490163346346,-0.042308988011424,0.0487717382635997,0.0340292121230168,-0.0993355552339184,-0.0267946397797009,-0.031321340439892,-0.110290469138836,-0.111503099341301,0.00754334511574363,-0.058092682244095,0.0778699749145117
"X25_M_lu_standard",0.00384410717096681,-0.0275645870767189,-0.0298625287893269,0.119088672042211,0.0121854339459178,0.0647044408848452,-0.101353633847549,0.0406288610698221,0.0552034086438171,-0.112150584372791,-0.141013612403899,-0.0907774502436235,-0.177334452843303,-0.0622576845954851,0.010410003186945,0.153876450481577,0.017829811594045
"X80_M_lu_standard",-0.014033894638885,0.079815637331712,0.182009989297003,0.11516878202335,0.0410048933038949,0.00452714069823591,-0.0804439942042107,-0.0585940853306942,-0.0425294128575482,-0.0855056099857711,-0.120377007269575,-0.0344313003770518,-0.112627141093468,-0.0504080890401927,0.179525905332727,-0.100763586222963,-0.0255203642351784
"X53_M_lu_standard",-0.0229928195963799,-0.0262119642617195,0.241519383108918,0.025888464120719,0.134522535352407,-0.0461067509193143,-0.0491278232256734,-0.0603816098579294,-0.148807534564597,-0.0848657985539284,0.145350358007956,0.0459174461452152,-0.0477056939144078,-0.0969909526032378,-0.15448889340139,-0.100489744492635,-0.0428332692771102
"X1047_M_lu_standard",-0.0193873919263887,0.0944235129184999,0.0523797999888253,0.111793248778034,0.219879205758998,-0.146740626660645,-0.127216471310436,-0.129724026785703,-0.0742381344897462,0.0105517171080154,0.185344782062169,0.0622131951521368,-0.0225971478058429,-0.0669991261972961,-0.0503966551917033,-0.112561941103003,-0.125641252197159
