"CCA1"	"CCA2"
"ABCC8"	0.37038498188592	0.0336553624500101
"ABCD2"	0.281190070772181	-0.0171697109447272
"ABCG4"	0.322504657928229	-0.0497076711036346
"ABLIM2"	0.272299627821471	0.138871809331003
"ACSBG1"	0.421825577601144	-0.0117601728419568
"ACSL6"	0.295722606528508	0.278599518222202
"ACTL6B"	0.332382975894285	0.1861634676769
"ADAM11"	0.294183936846234	0.264073660684502
"ADAM22"	0.281217006227235	0.0886145802765652
"ADCY2"	0.299703258858241	-0.0278252480529695
"ADCY8"	0.324142345598662	-0.0438703171167494
"ADCYAP1"	0.332409670699696	0.10286268287895
"ADCYAP1R1"	0.375606053404917	0.0959559351808815
"ADD2"	0.441297851748521	0.129900265894817
"ADGRB1"	0.54803598459021	0.130888091019928
"ADGRB3"	0.435824889263611	0.135623687089615
"ADRA2C"	0.307181130182351	0.0764138908721503
"AFF2"	0.266929337774174	0.086941333236398
"AGAP2"	0.362941363366888	0.015049560453795
"AHI1"	0.310071499537962	-0.00653292108517662
"AJAP1"	0.309802149632214	0.0520466001982257
"AJM1"	0.400071190643851	0.0679799018195212
"AK5"	0.361369603480721	0.185720989198569
"AKAP6"	0.324449032892466	-0.0176614942470365
"ALDOC"	0.443382672695353	0.125803618812983
"AMER2"	0.436403635679193	0.0990809285760097
"AMPH"	0.442607106929166	-0.0572745126764586
"ANK1"	0.388605561901002	0.14699320424614
"ANK2"	0.349515317344434	0.0160447315846455
"ANKRD13D"	0.273601656916331	0.031775697823111
"ANKRD34B"	0.369944374491764	0.122258882298457
"ANKRD45"	0.325287337915163	0.0263065409571285
"ANKS1B"	0.506421653970281	0.124958948252679
"ANO3"	0.404700867938334	0.106483915744496
"AP3B2"	0.497391299181295	0.103273349760781
"APBA1"	0.368499353554081	0.00746323734712362
"APBA2"	0.406791851073693	0.16718719339265
"APBB1"	0.273734385248118	-0.0318782541053474
"APC2"	0.346021759370469	0.117770751311296
"APLP1"	0.294224811103826	0.0502958667218365
"APOD"	0.361984695248213	0.0914781483749868
"AQP4"	0.321224977406106	-0.0355917278390678
"ARC"	0.280299526419191	0.0791548920691417
"ARHGAP20"	0.264860840925043	-0.0345930595557423
"ARHGDIG"	0.321873247230524	-0.0854736726260219
"ARHGEF4"	0.266494719122759	0.0475933920922585
"ARHGEF9"	0.265486350509445	0.0988688689383096
"ARMCX2"	0.276440205213857	-0.0313936135414461
"ARPP21"	0.458180531872562	0.119510140960414
"ASIC1"	0.388259075120747	0.122693930289601
"ASIC2"	0.341980755716406	0.0634826287560862
"ASIC4"	0.294973770235738	-0.0548533352773191
"ASNS"	0.267665942599894	-0.102657968965251
"ASPHD1"	0.355315087061501	0.109023292020368
"ASPHD2"	0.361564200954045	0.151279178702803
"ATP13A4"	0.366942301353334	0.0307292568411483
"ATP13A5"	0.367033237945711	0.110132158936727
"ATP1A2"	0.411273819664992	-0.0381488086037968
"ATP1A3"	0.633028159963794	0.172050209549429
"ATP1B2"	0.397411878144897	0.0746059032326777
"ATP2B2"	0.286620841222019	0.291838621410257
"ATP2B3"	0.377191867546973	0.162035207404389
"B3GAT1"	0.338831994824745	0.233073534638932
"B4GALNT4"	0.393161139821296	-0.0313479505503846
"B4GALT2"	0.309576575266679	-0.00249758226084032
"BAALC"	0.298239208148185	0.040380067533837
"BAIAP3"	0.331939974911455	0.0480676514406345
"BCAN"	0.336707616030484	0.203825856707915
"BCAS1"	0.272692704921858	-0.0304564417092669
"BCAT1"	0.411963274854929	0.120214029555643
"BCL11A"	0.309916191384546	-0.0689118347269962
"BEGAIN"	0.402024224345411	0.116188735057914
"BEND6"	0.467673559930863	0.106954225377326
"BEX2"	0.302047609873916	0.0647434097550878
"BMERB1"	0.476116650380556	0.0920571873947524
"BRINP1"	0.505242508612109	0.139234824692629
"BRINP2"	0.265758929565923	0.0924343154873935
