"transcript","gene","Gene"
"Peer2.0.1.fasta006817-RA","RPL7A"," 60S ribosomal protein L7a (Mus musculus)"
"Peer2.0.1.fasta006816-RA","MED22"," Mediator of RNA polymerase II transcription subunit 22 (Bos taurus)"
"Peer2.0.1.fasta006815-RA","SURF6"," Surfeit locus protein 6 (Mus musculus)"
"Peer2.0.1.fasta006818-RA","SURF1"," Surfeit locus protein 1 (Mus musculus)"
"Peer2.0.1.fasta006819-RA","SURF2"," Surfeit locus protein 2 (Mus musculus)"
"Peer2.0.1.fasta006820-RA","SURF4"," Surfeit locus protein 4 (Bos taurus)"
"Peer2.0.1.fasta006827-RA","ADAMTSL2"," ADAMTS-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta006826-RA","MYMK"," Protein myomaker (Mus musculus)"
"Peer2.0.1.fasta006828-RA","FAM163B"," Protein FAM163B (Mus musculus)"
"Peer2.0.1.fasta006829-RA","DBH"," Dopamine beta-hydroxylase (Mus musculus)"
"Peer2.0.1.fasta006832-RA","VAV2"," Guanine nucleotide exchange factor VAV2 (Homo sapiens)"
"Peer2.0.1.fasta006830-RA","SARDH"," Sarcosine dehydrogenase%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta006831-RA","C3"," Complement C3 (Cavia porcellus)"
"Peer2.0.1.fasta006834-RA","BRD3"," Bromodomain-containing protein 3 (Homo sapiens)"
"Peer2.0.1.fasta006833-RA","BRD3OS"," Putative uncharacterized protein BRD3OS (Homo sapiens)"
"Peer2.0.1.fasta006836-RA","WDR5"," WD repeat-containing protein 5 (Rattus norvegicus)"
"Peer2.0.1.fasta006835-RA","WDR5"," WD repeat-containing protein 5 (Rattus norvegicus)"
"Peer2.0.1.fasta006837-RA","RXRA"," Retinoic acid receptor RXR-alpha (Rattus norvegicus)"
"Peer2.0.1.fasta006838-RA","COL5A1"," Collagen alpha-1(V) chain (Rattus norvegicus)"
"Peer2.0.1.fasta006839-RA","OLFM1"," Noelin (Mus musculus)"
"Peer2.0.1.fasta006840-RA","COL5A1"," Collagen alpha-1(V) chain (Rattus norvegicus)"
"Peer2.0.1.fasta006842-RA","ZNF318"," Zinc finger protein 318 (Mus musculus)"
"Peer2.0.1.fasta006841-RA","FCN2"," Ficolin-2 (Rattus norvegicus)"
"Peer2.0.1.fasta006843-RA","OLFM1"," Noelin (Mus musculus)"
"Peer2.0.1.fasta006844-RA","OLFM1"," Noelin (Mus musculus)"
"Peer2.0.1.fasta006823-RA","ADAMTS13"," A disintegrin and metalloproteinase with thrombospondin motifs 13 (Mus musculus)"
"Peer2.0.1.fasta006822-RA","REXO4"," RNA exonuclease 4 (Mus musculus)"
"Peer2.0.1.fasta006821-RA","STKLD1"," Serine/threonine kinase-like domain-containing protein STKLD1 (Mus musculus)"
"Peer2.0.1.fasta006825-RA","SLC2A6"," Solute carrier family 2%2C facilitated glucose transporter member 6 (Mus musculus)"
"Peer2.0.1.fasta006824-RA","CACFD1"," Calcium channel flower homolog (Homo sapiens)"
"Peer2.0.1.fasta006847-RA","MRPS2"," 28S ribosomal protein S2%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta006846-RA","C9ORF116"," UPF0691 protein C9orf116 (Homo sapiens)"
"Peer2.0.1.fasta006845-RA","PPP1R26"," Protein phosphatase 1 regulatory subunit 26 (Mus musculus)"
"Peer2.0.1.fasta006850-RA","CEL"," Bile salt-activated lipase (Rattus norvegicus)"
"Peer2.0.1.fasta006851-RA","GTF3C5"," General transcription factor 3C polypeptide 5 (Mus musculus)"
"Peer2.0.1.fasta006852-RA","GFI1B"," Zinc finger protein Gfi-1b (Mus musculus)"
"Peer2.0.1.fasta006848-RA","GBGT1"," Globoside alpha-1%2C3-N-acetylgalactosaminyltransferase 1 (Mus musculus)"
"Peer2.0.1.fasta006849-RA","RALGDS"," Ral guanine nucleotide dissociation stimulator (Rattus norvegicus)"
"Peer2.0.1.fasta006855-RA","AK8"," Adenylate kinase 8 (Mus musculus)"
"Peer2.0.1.fasta006856-RA","GTF3C4"," General transcription factor 3C polypeptide 4 (Homo sapiens)"
"Peer2.0.1.fasta006858-RA","BARHL1"," BarH-like 1 homeobox protein (Rattus norvegicus)"
"Peer2.0.1.fasta006857-RA","DDX31"," Probable ATP-dependent RNA helicase DDX31 (Mus musculus)"
"Peer2.0.1.fasta006859-RA","COX7C"," Cytochrome c oxidase subunit 7C%2C mitochondrial (Tarsius syrichta)"
"Peer2.0.1.fasta006853-RA","TSC1"," Hamartin (Rattus norvegicus)"
"Peer2.0.1.fasta006854-RA","SPACA9"," Sperm acrosome-associated protein 9 (Homo sapiens)"
"Peer2.0.1.fasta006861-RA","TTF1"," Transcription termination factor 1 (Mus musculus)"
"Peer2.0.1.fasta006860-RA","CFAP77"," Cilia- and flagella-associated protein 77 (Homo sapiens)"
"Peer2.0.1.fasta006862-RA","SETX"," Probable helicase senataxin (Mus musculus)"
"Peer2.0.1.fasta006863-RA","NTNG2"," Netrin-G2 (Mus musculus)"
